// Compost colors for goety. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyss_crown, #529080
abyss_robe, #5a686b
alarming_charm, #ffffd9
amethyst_necklace, #d4c2e0
animation_core, #8d8d8d
arca_compass, #333a5a
arrow_rain_focus, #666e4b
banish_focus, #5b188a
barricade_focus, #d2a4f8
biomine_focus, #61a183
biting_focus, #4e4b4a
black_iron_boots, #4a4a4a
black_iron_chestplate, #504d50
black_iron_helmet, #15191c
black_iron_leggings, #28292c
blackguard_focus, #76686b
blazing_focus, #d7870f
blazing_horn, #ffd7ac
blink_focus, #4d3c
blizzard_focus, #516ea2
blossoming_focus, #54521f
bolting_focus, #ffff66
bone_shard, #ffffff
bouncy_bubble_focus, #5779b8
brew_bag, #6e4b26
bubble_stream_focus, #2a8dfe
bulwark_focus, #69a4cd
buried_scroll, #c5c9e6
burrowing_focus, #838d5e
bygone_scroll, #5a5855
call_focus, #43e2d
cauldron_ladle, #373234
charge_focus, #bc8a47
chill_fabric, #192c6c
chilling_focus, #79aaeb
command_focus, #2c234a
command_horn, #5b3968
cooked_feet_of_frog, #fecdaa
corruption_focus, #7f61e3
crafting_focus, #8a5532
crone_hat, #6c7069
cross_pottery_sherd, #9a5546
cryptic_eye, #98989b
crystal_ball, #ffffff
cursed_bars, #3d5872
cursed_ingot, #29475b
cursed_knight_boots, #303c51
cursed_knight_chestplate, #253443
cursed_knight_helmet, #3d3c4b
cursed_knight_leggings, #1e2532
cursed_paladin_boots, #15282f
cursed_paladin_chestplate, #1c3441
cursed_paladin_helmet, #1c3340
cursed_paladin_leggings, #4080c
cushion_focus, #ffffff
cyclone_focus, #86fce3
dark_axe, #d9dada
dark_boots, #a151c
dark_chestplate, #a161e
dark_fabric, #202020
dark_hat, #8a837a
dark_helmet, #81e1e
dark_hoe, #e6e7e6
dark_ingot, #797f82
dark_leggings, #50b
dark_metal_scythe, #9e9e9d
dark_pickaxe, #cccdcd
dark_robe, #69482d
dark_scroll, #ffe8ac
dark_scythe, #c5c3be
dark_shovel, #e0e1e0
dark_sword, #23292c
dead_pottery_sherd, #945143
death_scythe, #c8e7ed
diamond_ravager_armor, #437f76
discharge_focus, #f0914a
ectoplasm, #d6ffff
eerie_pickaxe, #c9e4ff
electrocute_focus, #3ebcff
empty_focus, #3a3a46
end_walk_focus, #5a37a0
ender_chest_focus, #266c3a
entangling_focus, #6c800a
eruption_focus, #8e7a66
fanged_dagger, #cfd7ca
feast_focus, #26222c
feet_of_frog, #fff7e0
feline_amulet, #61574a
fell_blade, #283947
fire_blast_focus, #e1832d
fire_breath_focus, #2993d3
fireball_focus, #f4ac41
flame_capture, #343d4d
flame_strike_focus, #ea8912
floral_scroll, #b5d489
flying_focus, #c9ffff
focus_bag, #b95a30
focus_pack, #b65830
forbidden_fragment, #ffffff
forbidden_piece, #ffffff
forbidden_scroll, #ffccff
front_scroll, #c5c9e6
frost_breath_focus, #f7ffff
frost_crown, #7d9db6
frost_nova_focus, #a8edff
frost_robe, #34517f
frost_robe_cryo, #e1ffff
frostborn_focus, #93eeff
frozen_blade, #4b5c90
gale_fabric, #325e44
ghastly_focus, #fa5a30
ghost_fire_focus, #4ec9ff
glow_light_focus, #ffd389
gold_ravager_armor, #806928
grand_robe, #dc9bbb
grand_turban, #edc5f8
grapple_focus, #76a51c
