// Compost colors for simplyswords. You may add your own colors, change existing ones, or remove colors that aren't needed.
arcanethyst, #ffeaff
awakened_lichblade, #ffffff
bramblethorn, #ffffff
brimstone_claymore, #fffffc
caelestis, #a08458
contained_remnant, #a282a2
decaying_relic, #ffffed
diamond_chakram, #87cdc2
diamond_claymore, #cdffff
diamond_cutlass, #5f9179
diamond_glaive, #ffffff
diamond_greataxe, #ffffc9
diamond_halberd, #ffffff
diamond_katana, #c9ffff
diamond_longsword, #c9ffff
diamond_rapier, #c6ffff
diamond_sai, #367c61
diamond_scythe, #b9ffff
diamond_spear, #ffffcc
diamond_twinblade, #c2ffff
diamond_warglaive, #caffff
dormant_relic, #ffffff
emberblade, #ffffff
emberlash, #ffffff
empowered_remnant, #ffe8f2
enigma, #44ffff
flamewind, #6f5857
gobber_compat/gobber/gobber_chakram, #96abbf
gobber_compat/gobber/gobber_claymore, #ffffff
gobber_compat/gobber/gobber_cutlass, #ffffff
gobber_compat/gobber/gobber_glaive, #ffffff
gobber_compat/gobber/gobber_greataxe, #ffffff
gobber_compat/gobber/gobber_halberd, #ffffff
gobber_compat/gobber/gobber_katana, #ffffff
gobber_compat/gobber/gobber_longsword, #ffffff
gobber_compat/gobber/gobber_rapier, #ffffff
gobber_compat/gobber/gobber_sai, #ffffff
gobber_compat/gobber/gobber_scythe, #ffffff
gobber_compat/gobber/gobber_spear, #ffffff
gobber_compat/gobber/gobber_twinblade, #ffffff
gobber_compat/gobber/gobber_warglaive, #ffffff
gobber_compat/gobber_end/gobber_end_chakram, #93c0b4
gobber_compat/gobber_end/gobber_end_claymore, #ffffff
gobber_compat/gobber_end/gobber_end_cutlass, #ffffff
gobber_compat/gobber_end/gobber_end_glaive, #ffffff
gobber_compat/gobber_end/gobber_end_greataxe, #ffffff
gobber_compat/gobber_end/gobber_end_halberd, #ffffff
gobber_compat/gobber_end/gobber_end_katana, #ffffff
gobber_compat/gobber_end/gobber_end_longsword, #ffffff
gobber_compat/gobber_end/gobber_end_rapier, #ffffff
gobber_compat/gobber_end/gobber_end_sai, #ffffff
gobber_compat/gobber_end/gobber_end_scythe, #ffffff
gobber_compat/gobber_end/gobber_end_spear, #ffffff
gobber_compat/gobber_end/gobber_end_twinblade, #ffffff
gobber_compat/gobber_end/gobber_end_warglaive, #ffffff
gobber_compat/gobber_nether/gobber_nether_chakram, #c88ca2
gobber_compat/gobber_nether/gobber_nether_claymore, #ffffff
gobber_compat/gobber_nether/gobber_nether_cutlass, #ffffff
gobber_compat/gobber_nether/gobber_nether_glaive, #ffffff
gobber_compat/gobber_nether/gobber_nether_greataxe, #ffffff
