// Compost colors for inventorypets. You may add your own colors, change existing ones, or remove colors that aren't needed.
banana, #ffffd6
blue_screen, #5e5eff
candy_cane, #ffffff
easter_egg, #feffd6
egg_nog, #ffffff
feed_bag, #ffead7
holiday_cookie, #ffebb4
holiday_gift, #fff2e1
item_petrifier, #fffffe
nugget_coal, #ffffff
nugget_diamond, #ffffff
nugget_emerald, #ffffff
nugget_ender, #ffffff
nugget_lapis, #ffffff
nugget_obsidian, #ffffff
patreon_head, #fff7ff
patreon_shirt, #ffffff
pet_anvil, #c9c9c9
pet_apple, #fffff7
pet_april_fool, #ffffff
pet_banana, #ffffd6
pet_bed, #ffe6e6
pet_biome, #ffffff
pet_black_hole, #ffffff
pet_blaze, #fffffc
pet_brewing_stand, #fffef2
pet_cheetah, #ffffff
pet_chest, #fffce7
pet_chicken, #ffffff
pet_christmas_tree, #fffff4
pet_cloud, #ffffff
pet_cobblestone, #ffffff
pet_cow, #e3d9cf
pet_crafting_table, #fffff2
pet_creeper, #f1ffdd
pet_dirt, #ffffff
pet_double_chest, #e7cfaa
pet_dubstep, #b6dae7
pet_enchanting_table, #ffffff
pet_end_portal, #8e8e78
pet_ender_chest, #edf2f1
pet_enderman, #ffffff
pet_flying_saddle, #ffedc9
pet_furnace, #ffffff
pet_ghast, #ffffff
pet_grave, #d6d6d6
pet_heart, #ffdaff
pet_house, #fffff1
pet_illuminati, #ffffff
pet_iron_golem, #ffffff
pet_juggernaut, #ffb6b6
pet_jukebox, #fffff4
pet_lead, #ffffff
pet_loot, #fad6bc
pet_magma_cube, #ffe8e3
pet_menorah, #ffffcd
pet_meta, #ffffff
pet_meta_100, #ffffff
pet_meta_25, #ffffff
pet_meta_50, #ffffff
pet_meta_75, #ffffff
pet_meta_aoe, #ffffff
pet_meta_fan, #ffffff
pet_meta_mob, #ffffff
pet_meta_peaceful, #ffffff
pet_meta_special, #ffffff
pet_meta_utility, #ffffff
pet_meta_youtuber, #ffffff
pet_mickerson, #a778ff
pet_mishumaa_saba, #fffbc0
pet_moon, #ffffff
pet_mooshroom, #ffabb2
pet_nether_portal, #d2b5f1
pet_ocelot, #ffffff
pet_pacman, #ffffe8
pet_pig, #ffffff
pet_pingot, #46593
pet_pixie, #ffffff
pet_politically_correct, #ffffff
pet_pufferfish, #ffffe4
pet_purplicious_cow, #edb4ff
pet_qcm, #290052
pet_quiver, #fff7eb
pet_saddle, #fff0ca
pet_sated_chest, #7a642c
pet_sated_double_chest, #8a6b2c
pet_sheep, #ffffff
pet_shield, #e0f0ed
pet_siamese, #ffffff
pet_silverfish, #ffffff
pet_slime, #ffffff
pet_snow_golem, #ffffff
pet_spider, #f8ede8
pet_sponge, #ffffff
pet_squid, #eaf7ff
pet_sun, #ffffbf
pet_torch, #ffffff
pet_wither, #e0e0e0
pet_wolf, #ffffff
petachieve_1, #ffffff
petachieve_10, #ffffff
petachieve_20, #ffffff
petachieve_30, #ffffff
petachieve_40, #ffffff
petachieve_5, #ffffff
petachieve_50, #ffffff
petachieve_60, #ffffff
petachieve_all, #ffffff
petachieve_general, #b6a48a
rock_candy, #72e6d2
siamese_gift, #b4a59b
solstice_boots, #ffffff
solstice_chestplate, #ffffff
solstice_helmet, #ffffff
solstice_leggings, #ffffff
solstice_sword, #ffffff
start_button, #93c8c8
temp_chest, #fffce7
temp_double_chest, #e7cfaa
temp_feed_bag, #ffead7
temp_sated_chest, #7a642c
temp_sated_double_chest, #8a6b2c
windows_31, #9e848e
windows_7, #98faff
windows_8, #395284
windows_me, #ffffff
windows_mojave, #ffbe93
windows_xp, #afc5ff
xerox_parc_gui, #e1e1e1
