// Compost colors for crystalcraft_unlimited_java. You may add your own colors, change existing ones, or remove colors that aren't needed.
adamantite, #ff36ff
adamantite_and_mythril_axe, #8d86e3
adamantite_and_mythril_bow, #827adc
adamantite_and_mythril_hoe, #834dbe
adamantite_and_mythril_pickaxe, #6e75c8
adamantite_and_mythril_shovel, #797ad9
adamantite_armor_boots, #ff4dff
adamantite_armor_chestplate, #ff40ff
adamantite_armor_helmet, #ff43fc
adamantite_armor_leggings, #ff4eff
adamantite_axe, #ff4eff
adamantite_hoe, #e15cde
adamantite_pickaxe, #ed58ea
adamantite_shovel, #e361e0
adamantite_sword, #ff19ff
agate_armor_boots, #b28ea0
agate_armor_chestplate, #ccbebc
agate_armor_helmet, #a8989a
agate_armor_leggings, #78b5a4
alexandrite, #b27fe1
alexandrite_armor_boots, #8e48ae
alexandrite_armor_chestplate, #b45fde
alexandrite_armor_helmet, #9e46bb
alexandrite_armor_leggings, #8644b4
alexandrite_axe, #654490
alexandrite_hoe, #862893
alexandrite_pickaxe, #68468d
alexandrite_shovel, #574379
alexandrite_sword, #9052ab
aliminium_shovel_recipe, #e8e8e8
aluminium, #eae8e8
aluminium_armor_boots, #d0cfcf
aluminium_armor_chestplate, #e7e6e6
aluminium_armor_helmet, #cdcaca
aluminium_armor_leggings, #cfcccc
aluminium_axe, #d6d3d3
aluminium_hoe, #e1e1e1
aluminium_pickaxe, #e1e1e1
aluminium_sword, #dcdada
amazonit_armor_boots, #eb891
amazonit_armor_chestplate, #12d4a8
amazonit_armor_helmet, #aaa86
amazonit_armor_leggings, #ebf97
amazonite, #bcda0
amazonite_axe, #1c9a87
amazonite_hoe, #c7d64
amazonite_pickaxe, #a876c
amazonite_shovel, #c694b
amazonite_sword, #1cab8e
ambe_armor_boots, #ff8414
ambe_armor_chestplate, #ff9716
ambe_armor_helmet, #ff730c
ambe_armor_leggings, #ff8412
amber, #ff8e04
amber_axe, #d66c15
amber_hoe, #a55c0c
amber_pickaxe, #bb610a
amber_shovel, #97551b
amber_sword, #ff700b
amercium_hoe, #8c7575
americium_armor_boots, #663436
americium_armor_chestplate, #6c373a
americium_armor_helmet, #552325
americium_armor_leggings, #6f3c3d
americium_axe, #7c585a
americium_ingot, #7d4a4b
americium_pickaxe, #876b6b
americium_shovel, #a18686
americium_sword, #704041
amethyst, #ca28ff
amethyst_armor_boots, #a218e0
amethyst_armor_chestplate, #b11bff
amethyst_armor_helmet, #890bb4
amethyst_armor_leggings, #c016ff
amethyst_axe, #7f289e
amethyst_crystal_armor_boots, #c08eff
amethyst_crystal_armor_chestplate, #d6a1ff
amethyst_crystal_armor_helmet, #b583ff
amethyst_crystal_armor_leggings, #c694ff
amethyst_crystal_axe, #a276f5
amethyst_crystal_hoe, #9e72f1
amethyst_crystal_pickaxe, #a073f2
amethyst_crystal_shovel, #ae82fc
amethyst_crystal_sword, #ae80ff
amethyst_hoe_recipe, #6f0c96
amethyst_pickaxe, #7a0aa8
amethyst_shovel, #732090
amethyst_sword, #ac19f8
ametrine, #e45ca7
ametrine_armor_boots, #bb3d82
ametrine_armor_chestplate, #d94794
ametrine_armor_helmet, #b23778
ametrine_armor_leggings, #c23e83
ametrine_axe, #9b4664
ametrine_hoe, #791e69
ametrine_pickaxe, #973052
ametrine_shovel, #86305f
ametrine_sword, #d95893
ammolite, #666b7f
ammolite_armor_boots, #5c6558
ammolite_armor_chestplate, #7a7c75
ammolite_armor_helmet, #546452
ammolite_armor_leggings, #4b7d46
ammolite_axe, #723a47
ammolite_hoe, #5c4b20
ammolite_pickaxe, #4a414b
ammolite_shovel, #4b3e48
ammolite_sword, #7a5296
angerite, #ff620e
angerite_axe, #ff8004
angerite_hoe, #ff8905
angerite_pickaxe, #ff8605
angerite_shovel, #ff8a07
angerite_sword, #ff8904
angerites_armor_boots, #ff7d0a
angerites_armor_chestplate, #f56807
angerites_armor_helmet, #f56404
angerites_armor_leggings, #ff8705
anti_humoranium, #9818ee
anti_humoranium_armor_boots, #870bda
anti_humoranium_armor_chestplate, #970bf5
anti_humoranium_armor_helmet, #8e08e8
anti_humoranium_armor_leggings, #930aee
anti_humoranium_axe, #8e22d7
anti_humoranium_pickaxe, #760fbe
anti_humoranium_scythe, #760cbf
anti_humoranium_shovel, #8918d3
anti_humoranium_sword, #8011ca
aquamarine, #2dbfff
aquamarine_armor_boots, #ea0eb
aquamarine_armor_chestplate, #48e3ff
aquamarine_armor_helmet, #9affff
aquamarine_armor_leggings, #54dcff
aquamarine_axe, #2082a5
aquamarine_hoe, #c73a5
aquamarine_pickaxe, #a7fb9
aquamarine_shovel, #207590
aquamarine_sword, #1989d9
australian_sapphire, #aae1ff
australian_sapphire_armor_boots, #9acdfb
australian_sapphire_armor_chestplate, #9bdeff
australian_sapphire_armor_helmet, #90c3f2
australian_sapphire_armor_leggings, #96d0ff
australian_sapphire_axe, #9abedd
australian_sapphire_hoe, #89a8c5
australian_sapphire_pickaxe, #76a0c5
australian_sapphire_shovel, #a4c9e8
australian_sapphire_sword, #68a0d0
azurite, #94768e
azurite_armor_boots, #8a738d
azurite_armor_chestplate, #a17a96
azurite_armor_helmet, #7a667f
azurite_armor_leggings, #916b83
azurite_axe, #4d5061
azurite_hoe, #306175
azurite_pickaxe, #574d5c
azurite_sword, #6e6672
azuriteshovel, #584857
bismut_armor_boots, #796e6b
bismut_armor_chestplate, #8d8787
bismut_armor_helmet, #767272
bismut_armor_leggings, #7f7072
bismuth, #848482
bismuth_axe, #9a9491
bismuth_hoe, #949393
bismuth_pickaxe, #908e8a
bismuth_shovel, #a19ea1
bismuth_sword, #7f757d
bixbit_armor_boots, #f71168
bixbit_armor_chestplate, #ff1576
bixbit_armor_helmet, #eb0b5f
bixbit_armor_leggings, #ff0f6b
bixbite, #ff338d
bixbite_axe, #f1186c
bixbite_cyber_sword, #ff4883
bixbite_hoe, #c80a52
bixbite_pickaxe, #cf0c57
bixbite_shovel, #c51155
bixbite_sword, #dd1864
black_catseye, #4b4b4b
black_catseye_1_armor_boots, #222222
black_catseye_1_armor_chestplate, #323232
black_catseye_1_armor_helmet, #1f1f1f
black_catseye_1_armor_leggings, #282828
black_catseye_axe, #363436
black_catseye_hoe_recipe, #232323
black_catseye_pickaxe, #202020
black_catseye_shovel, #3d3d3d
black_catseye_sword, #434343
black_cyber_sword, #4d4848
black_diamond_hoe, #1c1b1c
black_diamond_pickaxe, #262626
black_diamond_shovel, #292929
black_opal, #78967f
black_opal_armor_boots, #507873
black_opal_armor_chestplate, #5c7f7d
black_opal_armor_helmet, #48706c
black_opal_armor_leggings, #507c7c
black_opal_axe, #3e645f
black_opal_hoe, #415158
black_opal_pickaxe, #445854
black_opal_shovel, #557f75
black_opal_sword, #47726b
black_pearl, #4e4e4e
black_pearl_1_armor_boots, #1c1c1c
black_pearl_1_armor_chestplate, #2c2c2c
black_pearl_1_armor_helmet, #151515
black_pearl_1_armor_leggings, #252525
black_pearl_axe, #232223
black_pearl_hoe, #1c1b1c
black_pearl_pickaxe, #1f1f1f
black_pearl_shovel, #1f1e1f
black_pearl_sword, #151515
blackstone, #333333
blackstone_axe, #767676
blackstone_hoe, #666666
blackstone_pickaxe, #6e6e6e
blackstone_shovel, #6c6c6c
blackstone_sword, #656565
blackstones_armor_boots, #5e5e5e
blackstones_armor_chestplate, #5c5c5c
blackstones_armor_helmet, #575757
blackstones_armor_leggings, #585858
blood_quartz, #ff7675
blood_quartz_armor_boots, #ff6161
blood_quartz_armor_chestplate, #ff7373
blood_quartz_armor_helmet, #ff5c5c
blood_quartz_armor_leggings, #ff6565
blood_quartz_axe, #ff6c6c
blood_quartz_function, #ff8080
blood_quartz_hoe, #ff2d2d
blood_quartz_pickaxe, #ff3232
blood_quartz_shovel, #ff444d
blood_quartz_sword, #ff6b6b
bloodston_armor_boots, #7c6251
bloodston_armor_chestplate, #659075
bloodston_armor_helmet, #726251
bloodston_armor_leggings, #68765e
bloodstone, #89bba1
bloodstone_axe, #6e836f
bloodstone_hoe, #5e5a46
bloodstone_pickaxe, #5e5c48
bloodstone_shovel, #4e5046
bloodstone_sword, #7d6b5b
blue_catsey_axe, #228ab2
blue_catseye, #1fa0ca
blue_catseye_1_armor_boots, #2cb9ee
blue_catseye_1_armor_chestplate, #4bdcff
blue_catseye_1_armor_helmet, #12a2d9
blue_catseye_1_armor_leggings, #34c2f7
blue_catseye_hoe, #167598
blue_catseye_pickaxe, #127da5
blue_catseye_shovel, #29a2d0
blue_catseye_sword, #1496c6
blue_crossguard_sword, #5eaaff
blue_cyber_sword, #5cacff
blue_pearl, #bef7ff
blue_pearl_1_armor_boots, #aeebff
blue_pearl_1_armor_chestplate, #caffff
blue_pearl_1_armor_helmet, #a4e6ff
blue_pearl_1_armor_leggings, #bcf7ff
blue_pearl_2_armor_boots, #6594ff
blue_pearl_2_armor_chestplate, #6b98ff
blue_pearl_2_armor_helmet, #4373ff
blue_pearl_2_armor_leggings, #6c9bff
blue_pearl_axe, #5b93c9
blue_pearl_hoe, #4e86af
blue_pearl_pickaxe, #5f87c0
blue_pearl_shovel, #6283b9
blue_pearl_sword, #70a4ff
blue_sapphire_armor_boots, #73dc6
blue_sapphire_armor_chestplate, #a50ff
blue_sapphire_armor_helmet, #53ac2
blue_sapphire_armor_leggings, #741d9
blue_sapphire_shovel, #202393
blue_the_count_cyber_sword, #68d9ff
bluestone_armor_boots, #4693dd
bluestone_armor_chestplate, #3289e0
bluestone_armor_helmet, #3a87d2
bluestone_armor_leggings, #3e8ddc
bluestone_axe, #4e9eee
bluestone_dust, #5cbc
bluestone_hoe, #368ee7
bluestone_pickaxe, #479ef7
bluestone_shovel, #3d97ee
bluestone_sword, #3290ee
brass, #eeea94
brass_axe, #b9b58a
brass_hoe, #dddab4
brass_pickaxe, #dddaaa
brass_shovel, #cfcda5
brass_sword, #bbb676
brasss_armor_boots, #ccc87f
brasss_armor_chestplate, #e4e08e
brasss_armor_helmet, #c2be78
brasss_armor_leggings, #d0cc82
brickerite, #d07a64
brickerite_armor_boots, #d26c48
brickerite_armor_chestplate, #e38078
brickerite_armor_helmet, #c86255
brickerite_armor_leggings, #d37347
brickerite_axe, #915241
brickerite_hoe, #6b444a
brickerite_pickaxe, #874643
brickerite_shovel, #703941
brickerite_sword, #a1665a
bright_yellow_cyber_sword, #ffff61
bronze, #c8915b
bronze_axe, #a58346
bronze_hoe, #bfa791
bronze_pickaxe, #bb9d82
bronze_shovel, #b89e83
bronze_sword, #b47a39
bronzes_armor_boots, #9b6b3a
bronzes_armor_chestplate, #af763d
bronzes_armor_helmet, #936537
bronzes_armor_leggings, #a06c3a
brown_catseye, #be5f29
brown_catseye_hoe_recipe, #723215
brown_catseye_pickaxe_recipe, #783212
brown_catseye_shovel, #8e3e16
brown_cyber_sword, #cf9175
brown_diamond, #93522a
brown_diamond_armor_boots, #843720
brown_diamond_armor_chestplate, #9b4429
brown_diamond_armor_helmet, #80331c
brown_diamond_armor_leggings, #843720
brown_diamond_axe, #753c18
brown_diamond_hoe, #572504
brown_diamond_pickaxe, #5b2807
brown_diamond_shovel, #5f2a0a
brown_diamond_sword, #51260c
brown_pearl, #e3a061
brown_pearl_1_armor_boots, #de9441
brown_pearl_1_armor_chestplate, #fbb45f
brown_pearl_1_armor_helmet, #d78c39
brown_pearl_1_armor_leggings, #eda451
brown_pearl_axe, #916636
brown_pearl_hoe, #725028
brown_pearl_pickaxe, #845a2d
brown_pearl_shovel, #845e33
brown_pearl_sword, #d39682
cadmium, #89afa1
cadmium_armor_boots, #78968c
cadmium_armor_chestplate, #97b8ac
cadmium_armor_helmet, #628378
cadmium_armor_leggings, #7a9a8e
cadmium_axe, #7d938c
cadmium_hoe, #8a9a94
cadmium_pickaxe, #849891
cadmium_shovel, #8ea29b
cadmium_sword, #78978c
catseye, #d023cc
catseye_armor_boots, #f019ca
catseye_armor_chestplate, #ff22f7
catseye_armor_helmet, #ed14c9
catseye_armor_leggings, #fc1bda
catseye_axe, #d71ee0
catseye_hoe, #fa0eff
catseye_pickaxe, #f40eff
catseye_shovel, #d40bd9
catseye_sword, #d404e7
chalcanthite, #4a5eb1
chalcanthite_armor_boots, #393cf0
chalcanthite_armor_chestplate, #586cff
chalcanthite_armor_helmet, #374bee
chalcanthite_armor_leggings, #4861ff
chalcanthite_axe, #646fff
chalcanthite_hoe, #5452ff
chalcanthite_pickaxe, #544eff
chalcanthite_spade, #698dff
chalcanthite_sword, #6978ff
chloronium, #87c200
chloronium_axe, #b9f22f
chloronium_dust_armor_boots, #c5fc41
chloronium_dust_armor_chestplate, #c5ff37
chloronium_dust_armor_helmet, #b4eb2f
chloronium_dust_armor_leggings, #c0f83d
chloronium_hoe, #c3fc3a
chloronium_pickaxe, #c6fc44
chloronium_shovel, #cafe4a
chloronium_sword, #b5f21f
chrome, #847ab5
chrome_axe, #9b96b2
chrome_hoe, #8a869d
chrome_pickaxe, #8983a1
chrome_shovel, #9e9ab5
chrome_sword, #78709d
chromes_armor_boots, #6e6696
chromes_armor_chestplate, #7f75ac
chromes_armor_helmet, #625b8a
chromes_armor_leggings, #70689a
chrysolite, #dcff54
chrysolite_armor_boots, #b6ed16
chrysolite_armor_chestplate, #cdff15
chrysolite_armor_helmet, #8dd614
chrysolite_armor_leggings, #caf815
chrysolite_axe, #8ca823
chrysolite_hoe, #78980c
chrysolite_pickaxe, #83a80a
chrysolite_shovel, #6b9020
chrysolite_sword, #abd61c
cinnabar, #cd0707
cinnabar_armor_boots, #c80c0c
cinnabar_armor_chestplate, #e41515
cinnabar_armor_helmet, #c80b0b
cinnabar_armor_leggings, #cf0c0c
cinnabar_axe, #a12829
cinnabar_hoe, #7a191b
cinnabar_pickaxe, #87191b
cinnabar_shovel, #832022
cinnabar_sword, #c62022
citrine, #fffe33
citrine_armor_boots, #ffee0e
citrine_armor_chestplate, #ffff19
citrine_armor_helmet, #fffa0f
citrine_armor_leggings, #fffa14
citrine_axe, #c5af18
citrine_hoe, #a1860c
citrine_pickaxe, #b4940a
citrine_shovel, #9b8214
citrine_sword, #f4d319
cobalt, #337594
cobalt_armor_boots, #2c707c
cobalt_armor_chestplate, #338d96
cobalt_armor_helmet, #267389
cobalt_armor_leggings, #3d7289
cobalt_axe, #f4b52
cobalt_hoe, #e5e5e
cobalt_pickaxe, #125157
cobalt_shovel, #e6b69
cobalt_sword, #165f62
copper_armor_boots, #d76c0e
copper_armor_chestplate, #fe871f
copper_armor_helmet, #e07314
copper_armor_leggings, #e0700e
copper_axe, #87b579
copper_hoe, #ae9a70
copper_pickaxe, #b4a26e
copper_shovel, #cdb178
copper_sword, #c39e48
corrupted_blue_cyber_sword, #3775cf
corrupted_bright_yellow_sword, #ccb92c
corrupted_brown_sword, #8e5e4a
corrupted_cyan_sword, #2db1c8
corrupted_cyber_crystal, #6c6b6b
corrupted_cyber_sword, #8eabbe
corrupted_cyber_sword_green, #46b61c
corrupted_cyber_sword_orange, #d36226
corrupted_cyber_sword_yellow, #d39452
corrupted_dark_blue_cyber_sword, #2f4eca
corrupted_indigo_sword, #5137cf
corrupted_indigolite_cyber_sword, #3d706b
corrupted_jade_cyber_sword, #3a7d1c
corrupted_legendary_blue_cyber_sword, #2996c3
corrupted_light_pink_cyber_sword, #d339b4
corrupted_lime_sword, #8ac21e
corrupted_maroon_sword, #8e3c3a
corrupted_neon_blue_cyber_sword, #23c3b4
corrupted_neon_green_cyber_sword, #23bf6e
corrupted_pink_sword, #d33790
corrupted_purple_sword, #833ecf
corrupted_rainbow_cyber_sword, #937369
corrupted_rose_sword, #d384bf
corrupted_scarlet_cyber_sword, #ca1c4e
corrupted_violet_sword, #a837c3
corrupted_white_cyber_sword, #b5b1b1
crimson_gold, #ffa047
crimson_gold_armor_boots, #ff9446
crimson_gold_armor_chestplate, #ffb261
crimson_gold_armor_helmet, #ffa244
crimson_gold_armor_leggings, #ff9634
crimson_gold_axe, #ffbe30
crimson_gold_hoe, #ffd40c
crimson_gold_pickaxe, #ffcc0f
crimson_gold_shovel, #ffbc08
crimson_gold_sword, #ffab65
crossguard_cyber_sword, #ff5e55
crystal, #ffffff
crystal_axe, #ffaeff
crystal_hoe, #ff86ff
crystal_pickaxe, #ff9bff
crystal_shovel, #ffa1ff
crystal_sword, #fff4ff
crystaline_armor_boots, #ffffff
crystaline_armor_chestplate, #ffffff
crystaline_armor_helmet, #ffffff
crystaline_armor_leggings, #ffffff
crystalopedia, #5f2872
cupronicke_armor_boots, #ff9a9a
cupronicke_armor_chestplate, #ffb4b4
cupronicke_armor_helmet, #ff8e8e
cupronicke_armor_leggings, #ffa0a0
cupronickel, #ffc3c3
cupronickel_axe, #ffb5b5
cupronickel_hoe, #e39e9e
cupronickel_pickaxe, #f09d9d
cupronickel_shovel, #fcacac
cupronickel_sword, #ff9090
cyan_cyber_sword, #61f8ff
cyan_emerald, #66ffd6
cyan_emerald_a_xe, #39a883
cyan_emerald_armor_boots, #36e8ae
cyan_emerald_armor_chestplate, #44ffcc
cyan_emerald_armor_helmet, #29e7a8
cyan_emerald_armor_leggings, #30eeaf
cyan_emerald_hoe, #116b4d
cyan_emerald_pickaxe, #197255
cyan_emerald_shovel, #288264
cyan_emerald_sword, #2cb689
cyan_star_armor_boots, #c825a
cyan_star_armor_chestplate, #2cbc8c
cyan_star_armor_helmet, #e805a
cyan_star_armor_leggings, #f8c62
cyan_star_sapphire, #1f7c5c
cyan_star_sapphire_hoe, #258061
cyan_star_sapphireshovel, #258c69
cyber_crystal, #abf8ff
cyber_sword, #cff2ff
dark_blue_cyber_sword, #547dff
dark_blue_diamond, #306bff
dark_blue_diamond_armor_boots, #73dc6
dark_blue_diamond_armor_chestplate, #a50ff
dark_blue_diamond_armor_helmet, #53ac2
dark_blue_diamond_armor_leggings, #741d9
dark_blue_diamond_axe, #2058eb
dark_blue_diamond_hoe, #432aa
dark_blue_diamond_pickaxe, #736af
dark_blue_diamond_shovel, #a37b2
dark_blue_diamond_sword, #144dde
dark_blue_pearl, #6282ff
dark_blue_pearl_axe, #1e3eae
dark_blue_pearl_hoe, #20398a
dark_blue_pearl_pickaxe, #2040a2
dark_blue_pearl_shovel, #203e9b
dark_blue_pearl_sword, #6489fb
dark_green_cyber_sword, #55c229
dark_green_sapphire_axe, #29a123
dark_green_sapphire_sword, #199b15
dark_green_star_sapphire, #239e1f
diamond_crossguard_sword, #5affff
diamond_cyber_sword, #5cfffe
double_bladed_cyber_sword_2, #ff5151
draconic_pickaxe, #ff9307
dragon_scale, #652990
dragon_scale_armor_boots, #6e4093
dragon_scale_armor_chestplate, #764891
dragon_scale_armor_helmet, #542c76
dragon_scale_armor_leggings, #623a7c
dragon_scale_axe, #582c7a
dragon_scale_hoe, #2f1543
dragon_scale_pickaxe, #36164e
dragon_scale_shovel, #371b51
dragon_scale_sword, #5e2291
echo_axe, #b333e
echo_helmet_boots, #b3a48
echo_helmet_chestplate, #74757
echo_helmet_helmet, #a3744
echo_helmet_leggings, #a3a48
echo_hoe, #c2c36
echo_pickaxe, #c303c
echo_shovel, #b3c48
echo_sword, #84351
eclipse_diamond, #6e4d94
eclipse_diamond_armor_boots, #642fa1
eclipse_diamond_armor_chestplate, #5f3c8a
eclipse_diamond_armor_helmet, #542984
eclipse_diamond_armor_leggings, #623498
eclipse_diamond_axe, #7943b8
eclipse_diamond_hoe, #8a50cd
eclipse_diamond_pickaxe, #fbd3ff
eclipse_diamond_sword, #866ea1
eclipse_shovel, #7641b2
electrum, #ffd339
electrum_armor_armor_boots, #f7b41f
electrum_armor_armor_chestplate, #ffca29
electrum_armor_armor_helmet, #edaa16
electrum_armor_armor_leggings, #ffb91c
electrum_axe, #edc265
electrum_hoe, #c9aa64
electrum_pickaxe, #d9af51
electrum_shovel, #f0cd82
