// Compost colors for silentcompat. You may add your own colors, change existing ones, or remove colors that aren't needed.
arcmetal_ingot, #c8ffff
arcmetal_nugget, #b4ffff
bunny_steel_ingot, #cc9862
bunny_steel_nugget, #bf8e5c
capsid_alloy_ingot, #612d98
capsid_alloy_nugget, #5f3778
chocolate_chip, #5c3330
crystalline_alloy, #fff5ff
dark_chocolate_ingot, #341b1b
dark_chocolate_nugget, #3c1f1f
midnight_iron_ingot, #66575b
midnight_iron_nugget, #3d464e
outback_leather, #fff4d2
plasteel_ingot, #4b4a9a
plasteel_nugget, #2a3269
raw_arcmetal, #94def1
raw_plasteel, #403d84
raw_solarmetal, #fe792f
raw_voidmetal, #5a3698
sculk_alloy_ingot, #a2d36
sculk_alloy_nugget, #163740
solarmetal_ingot, #ffab5c
solarmetal_nugget, #ffb679
source_steel_ingot, #cabec3
source_steel_nugget, #ff9bdc
voidmetal_ingot, #7958b1
voidmetal_nugget, #6f5a9b
