// Compost colors for ms. You may add your own colors, change existing ones, or remove colors that aren't needed.
armor/amethyst_boots, #c897ff
armor/amethyst_chest, #e8b6ff
armor/amethyst_helmet, #d09dff
armor/amethyst_horse_armor, #d289d6
armor/amethyst_legs, #d09eff
armor/aquamarine_boots, #29c8dc
armor/aquamarine_chest, #28f8ff
armor/aquamarine_helmet, #23b9cf
armor/aquamarine_horse_armor, #48b4ca
armor/aquamarine_legs, #25d0e7
armor/black_diamond_boots, #f4d58
armor/black_diamond_chest, #f505b
armor/black_diamond_helmet, #11525f
armor/black_diamond_legs, #e4b58
armor/blaze_boots, #ffa716
armor/blaze_chest, #ffd232
armor/blaze_helmet, #ffae1c
armor/blaze_horse_armor, #f89315
armor/blaze_legs, #ffac18
armor/bronze_boots, #7d4611
armor/bronze_chest, #a8651b
armor/bronze_helmet, #724011
armor/bronze_legs, #874d14
armor/chainmail_horse_armor, #827878
armor/chainmail_wolf_armor, #756969
armor/citrine_boots, #ab8025
armor/citrine_chest, #c39125
armor/citrine_helmet, #9a721f
armor/citrine_legs, #ac8025
armor/coal_boots, #121212
armor/coal_chest, #151515
armor/coal_helmet, #121212
armor/coal_horse_armor, #2c1919
armor/coal_legs, #141414
armor/cobalt_boots, #4184cd
armor/cobalt_chest, #2f94e1
armor/cobalt_helmet, #3d8ddd
armor/cobalt_horse_armor, #467ac0
armor/cobalt_legs, #438dda
armor/copper_boots, #f27c55
armor/copper_chest, #ff8e64
armor/copper_helmet, #e7734e
armor/copper_horse_armor, #c85c3e
armor/copper_legs, #f27c55
armor/demonite_boots, #553a89
armor/demonite_chest, #6c4ea1
armor/demonite_helmet, #5c398e
armor/demonite_legs, #5f4794
armor/diamond_wolf_armor, #51ebf5
armor/emerald_boots, #3ec65e
armor/emerald_chest, #62fe90
armor/emerald_helmet, #33b850
armor/emerald_horse_armor, #37a218
armor/emerald_legs, #3ed064
armor/flint_boots, #484747
armor/flint_chest, #5c5b5b
armor/flint_helmet, #404040
armor/flint_legs, #484848
armor/glass_boots, #a4e3e4
armor/glass_chest, #c6ffff
armor/glass_helmet, #b8f4f2
armor/glass_legs, #b2f7f7
armor/glowstone_boots, #cab494
armor/glowstone_chest, #faddab
armor/glowstone_helmet, #b6a88e
armor/glowstone_legs, #e3caa2
armor/golden_wolf_armor, #ffb934
armor/hellfire_boots, #d24020
armor/hellfire_chest, #ea5837
armor/hellfire_helmet, #d44a2c
armor/hellfire_legs, #f05432
armor/ice_boots, #12e8ff
armor/ice_chest, #14fcff
armor/ice_helmet, #f8ffff
armor/ice_legs, #11edff
armor/iron_wolf_armor, #a0a0a0
armor/jade_boots, #4eb262
armor/jade_chest, #55be68
armor/jade_helmet, #48a157
armor/jade_legs, #4eb262
armor/lapis_boots, #295fcf
armor/lapis_chest, #3770e8
armor/lapis_helmet, #235ac6
armor/lapis_legs, #2961d0
armor/leather_wolf_armor, #bea089
armor/mithril_boots, #acaeb9
armor/mithril_chest, #dadce8
armor/mithril_helmet, #9a9da7
armor/mithril_legs, #bcbec8
armor/moon_boots, #878787
armor/moon_chest, #dedadd
armor/moon_helmet, #797979
armor/moon_legs, #b2b2b2
armor/neridium_boots, #7a2aa5
armor/neridium_chest, #801bb6
armor/neridium_helmet, #761ba8
armor/neridium_horse_armor, #bc57cf
armor/neridium_legs, #7f2fa8
armor/nether_star_boots, #b2c0bf
armor/nether_star_chest, #deedda
armor/nether_star_helmet, #b4bfb6
armor/nether_star_legs, #8d9db9
armor/netherite_horse_armor, #98835f
armor/netherite_wolf_armor, #977f54
armor/obsidian_boots, #2a1e40
armor/obsidian_chest, #3a2955
armor/obsidian_helmet, #251937
armor/obsidian_horse_armor, #484125
armor/obsidian_legs, #2c1f41
armor/onyx_boots, #333333
armor/onyx_chest, #474747
armor/onyx_helmet, #2f2f2f
armor/onyx_horse_armor, #4d3c3c
armor/onyx_legs, #343434
armor/opal_boots, #d3d0fa
armor/opal_chest, #cdd2fe
armor/opal_helmet, #d7cdfa
armor/opal_legs, #cdc9f2
armor/platinum_boots, #ffffff
armor/platinum_chest, #ffffff
armor/platinum_helmet, #ffffff
armor/platinum_horse_armor, #fae7e7
armor/platinum_legs, #ffffff
armor/prismarine_boots, #84d2bb
armor/prismarine_chest, #89ddc3
armor/prismarine_helmet, #6fa28e
armor/prismarine_horse_armor, #6fab91
armor/prismarine_legs, #82d2b8
armor/pyridium_boots, #dc641f
armor/pyridium_chest, #f17f2c
armor/pyridium_helmet, #c5571b
armor/pyridium_horse_armor, #d2610e
armor/pyridium_legs, #dd6825
armor/quartz_boots, #e3cdc0
armor/quartz_chest, #feeddd
armor/quartz_helmet, #f1ded0
armor/quartz_horse_armor, #be9b90
armor/quartz_legs, #f1ded0
armor/red_sandstone_boots, #ffffff
armor/red_sandstone_chest, #ffe0c8
armor/red_sandstone_helmet, #ffffff
armor/red_sandstone_legs, #fff0e0
armor/redstone_boots, #720404
armor/redstone_chest, #860400
armor/redstone_helmet, #660404
armor/redstone_horse_armor, #793604
armor/redstone_legs, #730400
armor/ruby_boots, #eb3651
armor/ruby_chest, #ff5561
armor/ruby_helmet, #d02944
armor/ruby_horse_armor, #dc4e2a
armor/ruby_legs, #f03751
armor/sandstone_boots, #ffffff
armor/sandstone_chest, #ffffff
armor/sandstone_helmet, #ffffff
armor/sandstone_legs, #ffffff
armor/sapphire_boots, #3344b6
armor/sapphire_chest, #3062e0
armor/sapphire_helmet, #3239a8
armor/sapphire_legs, #3444b9
armor/scarlet_emerald_boots, #97000a
armor/scarlet_emerald_chest, #bc0818
armor/scarlet_emerald_helmet, #90000a
armor/scarlet_emerald_horse_armor, #a50015
armor/scarlet_emerald_legs, #9b000a
armor/silver_boots, #e6ffff
armor/silver_chest, #faffff
armor/silver_helmet, #d9ffff
armor/silver_legs, #e8ffff
armor/steel_boots, #6c6c6c
armor/steel_chest, #7a7a7a
armor/steel_helmet, #727272
armor/steel_horse_armor, #756262
armor/steel_legs, #616161
armor/tanzanite_boots, #523ad9
armor/tanzanite_chest, #6f4dfb
armor/tanzanite_helmet, #4732cf
armor/tanzanite_legs, #543adc
armor/tin_boots, #aaaaaa
armor/tin_chest, #d0d0d0
armor/tin_helmet, #e7e7e7
armor/tin_legs, #b8b8b8
armor/titanium_boots, #797c90
armor/titanium_chest, #8a8da2
armor/titanium_helmet, #737689
armor/titanium_horse_armor, #847f91
armor/titanium_legs, #7c7f93
armor/trio_boots, #554e68
armor/trio_chest, #e8f0e0
armor/trio_helmet, #415e51
armor/trio_legs, #4b5e66
armor/triterium_boots, #1c1c1c
armor/triterium_chest, #2a2a2a
armor/triterium_helmet, #222222
armor/triterium_legs, #222222
armor/tungsten_boots, #6b766f
armor/tungsten_chest, #76867d
armor/tungsten_helmet, #5e6962
armor/tungsten_legs, #646f66
armor/uranium_boots, #2fc008
armor/uranium_chest, #34dd08
armor/uranium_helmet, #28b505
armor/uranium_horse_armor, #44aa05
armor/uranium_legs, #2fc005
armor/white_opal_boots, #9a9aa4
armor/white_opal_chest, #c8ccdc
armor/white_opal_helmet, #94949d
armor/white_opal_legs, #acabb8
arrow/aquamarine_arrow, #6ca5ab
arrow/neridium_arrow, #795569
bar/gold_bars, #ffff96
boat/black_boat, #413422
boat/black_chest_boat, #664e25
boat/blue_boat, #586165
boat/blue_chest_boat, #726547
boat/brown_boat, #7a5536
boat/brown_chest_boat, #845e2f
boat/crimson_boat, #794440
boat/crimson_chest_boat, #835534
boat/cyan_boat, #556f5b
boat/cyan_chest_boat, #706b41
boat/glowood_boat, #909090
boat/glowood_chest_boat, #979797
boat/green_boat, #686e33
boat/green_chest_boat, #7a6b2d
boat/grey_boat, #5e523e
boat/grey_chest_boat, #755c33
boat/hellwood_boat, #553333
boat/hellwood_chest_boat, #704d2d
boat/light_blue_boat, #528386
boat/light_blue_chest_boat, #6f7658
boat/light_grey_boat, #807361
boat/light_grey_chest_boat, #866e44
boat/lime_boat, #80933a
boat/lime_chest_boat, #877d30
boat/magenta_boat, #9b587a
boat/magenta_chest_boat, #945f52
boat/maple_boat, #ae782d
boat/maple_chest_boat, #9e702f
boat/orange_boat, #a86239
boat/orange_chest_boat, #9b6530
boat/pink_boat, #bc7990
boat/pink_chest_boat, #a5705c
boat/purple_boat, #82587c
boat/purple_chest_boat, #875f52
boat/red_boat, #90412d
boat/red_chest_boat, #8e542a
boat/silverbell_boat, #c3b17f
boat/silverbell_chest_boat, #a88d55
boat/tigerwood_boat, #bb7d37
boat/tigerwood_chest_boat, #a47333
boat/warped_boat, #4d725c
boat/warped_chest_boat, #6c6c43
boat/white_boat, #beb29e
boat/white_chest_boat, #a78d65
boat/willow_boat, #6b7237
boat/willow_chest_boat, #7d6e33
boat/yellow_boat, #bc9d44
boat/yellow_chest_boat, #a58336
cake/apple_cake, #ffbbb5
cake/blackberry_cake, #a56976
cake/blueberry_cake, #a091e1
cake/brownie, #473020
cake/carrot_cake, #fffffe
cake/cheese, #ffff51
cake/chocolate_cake, #51280b
cake/cookie_cake, #fc8241
cake/crimson_berry_cake, #ffded2
cake/glowberry_cake, #fff0bf
cake/golden_apple_cake, #fffb89
cake/golden_carrot_cake, #fff151
cake/gooseberry_cake, #ffedcf
cake/honey_cake, #ffbf61
cake/lotune_cake, #ddd4f4
cake/magma_cream_cake, #d49733
cake/raspberry_cake, #ffd9cc
cake/redstone_cake, #b61c0b
cake/slime_cake, #9ad96c
cake/strawberry_cake, #ffa194
cake/sweet_berry_cake, #ffe3bf
cake/vanilla_cake, #fff1bf
chain/gold_chain, #ffbb23
crafting/syrup_bucket, #515151
door/black_glass, #393d3d
door/blue_glass, #4361ff
door/brown_glass, #9d7c54
door/cyan_glass, #55c9e8
door/glass, #ffffff
door/glowood, #ffffff
door/green_glass, #79c040
door/grey_glass, #7a7a79
door/hellwood, #5f3766
door/iron_bar, #8e8d8a
door/light_blue_glass, #8addff
door/light_grey_glass, #cfcfcf
door/lime_glass, #beff3a
door/magenta_glass, #fa61ff
door/maple, #ffffd0
door/orange_glass, #ffb24e
door/pink_glass, #ffafe6
door/purple_glass, #bb6eff
door/red_glass, #f44b4a
door/silverbell, #f2edca
door/soul_glass, #553e2c
door/tigerwood, #fffcd6
door/tinted_glass, #47444e
door/white_glass, #ffffff
door/willow, #ffffff
door/yellow_glass, #ffff3d
elytra/calm, #8e8691
ender_backpack, #23332d
explosives/dynamite, #dd481f
explosives/refined_dynamite, #261fdd
food/baked_polyp, #e4cdbf
food/batter, #ffff8c
food/beef_sandwich, #b27d2a
food/beef_stew, #794625
food/bell_pepper_seeds, #fffff7
food/black_tulip_seeds, #838383
food/blackberry, #332c46
food/blue_tulip_seeds, #838383
food/blueberry, #feffff
food/bread_slice, #e6c56c
food/brown_tulip_seeds, #838383
food/brownie_batter, #4b3312
food/burger, #ffd019
food/butter, #ffff4a
food/caramel, #fffff1
food/caramel_apple, #ffffff
food/carrot_stew, #9d7315
food/cheese_sandwich, #eab52c
food/cheese_wedge, #ffff5e
food/chicken_sandwich, #fff1bc
food/chicken_stew, #b98947
food/chocolate, #75482a
food/cod_sandwich, #fffac8
food/cod_sushi, #7f7065
food/cooked_bacon, #dd866c
food/cooked_calamari, #ca6839
food/cooked_chicken_nuggets, #e7bc43
food/cooked_egg, #ffffff
food/cooked_llama, #9d5a40
food/cooked_tropical_fish, #ff7c0a
food/corn, #8cbe1e
food/corn_seeds, #ffffff
food/crimson_berry, #e32a14
food/crimson_berry_pie, #80473a
food/crimson_berry_seeds, #a00a0e
food/cyan_tulip_seeds, #838383
food/diamond_bread, #72d2bb
food/dough, #ffffd2
food/egg_sandwich, #f8cf64
food/emerald_bread, #4eff87
food/flour, #ffffff
food/glass_jar, #f4ffff
food/glow_stew, #5abec9
food/golden_bread, #e4c51f
food/golden_potato, #fff52c
food/gooseberry, #deca80
food/green_bell_pepper, #b20e
food/green_tulip_seeds, #838383
food/grey_tulip_seeds, #838383
food/honey_sandwich, #e1ab40
food/iron_bread, #beb8ae
food/lettuce, #54f533
food/lettuce_seeds, #ffffff
