// Compost colors for atlantis. You may add your own colors, change existing ones, or remove colors that aren't needed.
algae, #c2ff8d
ancient_acacia_wood_moss_door, #a48c34
ancient_birch_wood_moss_door, #def4a0
ancient_dark_oak_wood_moss_door, #585f15
ancient_jungle_wood_moss_door, #a59b48
ancient_metal_door, #a2e6ff
ancient_metal_ingot, #e1ffff
ancient_oak_wood_moss_door, #96a13e
ancient_spruce_wood_moss_door, #757f32
aquamarine_boots, #7ce1e7
aquamarine_chestplate, #65c9d6
aquamarine_gem, #e1ffff
aquamarine_hammer, #46727c
aquamarine_helmet, #6fd6dc
aquamarine_leggings, #72dee0
atlantean_amulet, #ffffff
atlantean_boat, #94b678
atlantean_crystal, #6998be
atlantean_door, #90b46c
atlantean_fire_melon_fruit, #ffc9ae
atlantean_fire_melon_fruit_seeds, #ffffff
atlantean_fire_melon_fruit_spiked, #ffbbac
atlantean_fire_melon_spike, #f2e0d2
atlantean_power_comparator, #7f8280
atlantean_power_dust, #f2ffff
atlantean_power_lever, #cfc3b2
atlantean_power_repeater, #899091
atlantean_power_torch, #82cfc5
atlantean_sapling, #73a0d3
atlantean_sign, #90ae6e
atlantean_spear, #ffffff
atlantean_string, #9ac3fb
atlantean_tripwire_hook, #9bd9f5
axe_aquamarine, #ffffff
broken_shells, #ffffff
brown_wrought_boots, #ffffff
brown_wrought_chestplate, #eee0bf
brown_wrought_helmet, #f5e8d0
brown_wrought_leggings, #f8eed2
brown_wrought_patches, #dcc6a2
coconut_slice, #fffffe
column_cavitation, #546f73
cooked_shrimp, #6f5c73
crab_bucket, #c68993
crab_legs, #fff8f8
drop_of_atlantis, #3c9de1
exposed_ancient_metal_door, #a0cff7
fire_melon_jelly_bottle, #d4eda1
hoe_aquamarine, #ffffff
jellyfish_bucket, #c3c6d3
jellyfish_jelly_bottle, #e3f0ff
jetstream_water_bucket, #90bcc8
linguistic_glyph_scroll, #fffffe
linguistic_glyph_scroll_0, #fffffa
linguistic_glyph_scroll_1, #fffffb
linguistic_glyph_scroll_2, #fffffa
linguistic_glyph_scroll_3, #fffffa
linguistic_glyph_scroll_4, #fffff8
linguistic_glyph_scroll_5, #fffff4
linguistic_glyph_scroll_6, #fffff4
linguistic_glyph_scroll_7, #fffff4
linguistic_glyph_scroll_8, #fffff2
linguistic_glyph_scroll_9, #fffff1
linguistic_glyph_scroll_a, #fffff5
linguistic_glyph_scroll_b, #fffff2
linguistic_glyph_scroll_c, #fffff4
linguistic_glyph_scroll_d, #fffff2
linguistic_glyph_scroll_e, #fffff4
linguistic_glyph_scroll_f, #fffff4
linguistic_glyph_scroll_g, #fffff1
linguistic_glyph_scroll_h, #fffff4
linguistic_glyph_scroll_i, #fffff4
linguistic_glyph_scroll_j, #fffff5
linguistic_glyph_scroll_k, #fffff1
linguistic_glyph_scroll_l, #fffff5
linguistic_glyph_scroll_m, #fffff1
linguistic_glyph_scroll_n, #fffff2
linguistic_glyph_scroll_o, #fffff4
linguistic_glyph_scroll_p, #fffff0
linguistic_glyph_scroll_q, #fffff4
linguistic_glyph_scroll_r, #fffff0
linguistic_glyph_scroll_s, #fffff4
linguistic_glyph_scroll_t, #fffff4
linguistic_glyph_scroll_u, #fffff2
linguistic_glyph_scroll_v, #fffff4
linguistic_glyph_scroll_w, #fffff1
linguistic_glyph_scroll_x, #fffff5
linguistic_glyph_scroll_y, #fffff4
linguistic_glyph_scroll_z, #fffff2
ocean_stone, #acc5eb
orb_of_atlantis, #3ca8ee
orichalcum_axe, #a1967f
orichalcum_blend, #d4d3d4
orichalcum_boots, #9d97a0
orichalcum_chestplate, #c3bbb1
orichalcum_hammer, #ffffff
orichalcum_helmet, #9d9494
orichalcum_hoe, #9d9078
orichalcum_ingot, #beb4a5
orichalcum_leggings, #a4a0a0
orichalcum_pickaxe, #b9b19b
orichalcum_shovel, #aea182
orichalcum_sword, #a8a5a2
orichalcum_upgrade_smithing_template, #98917c
oxidized_ancient_metal_door, #b4bebf
palm_boat, #97653a
palm_door, #a5835c
palm_sapling, #faffdd
palm_sign, #976b3e
panbee, #546c64
pickaxe_aquamarine, #ffffff
purple_glowing_mushroom, #c3bbff
raw_ancient_metal_ingot, #daebf7
red_underwater_flower, #fffbd6
salty_sea_water_bucket, #aacabf
sea_salt, #e4ffff
seahorse_bucket, #d0d3bc
shovel_aquamarine, #ffffff
shrimp, #e0aba8
shrimp_bucket, #a28d98
sodium_nugget, #e0ddb1
submarine, #e1edf1
sword_aquamarine, #ffffff
tuber_up, #ffffff
underwater_flower, #e7fffe
water_pill, #e4feff
waxed_ancient_metal_door, #a2e6ff
waxed_exposed_ancient_metal_door, #a0cff7
waxed_oxidized_ancient_metal_door, #b4bebf
waxed_weathered_ancient_metal_door, #b4c3d3
weathered_ancient_metal_door, #b4c3d3
yellow_glowing_mushroom, #ffffac
yellow_underwater_flower, #ffffd7
