// Compost colors for abnormals_delight. You may add your own colors, change existing ones, or remove colors that aren't needed.
adzuki_cake_slice, #ffa178
banana_cake_slice, #ffd998
cherry_cookie, #ffbeaa
cherry_cream_soda, #ffd2f2
chocolate_cake_slice, #ac6947
cooked_duck_fillet, #e4834d
cooked_perch_slice, #ffffff
cooked_pike_slice, #b26e47
cooked_venison_shanks, #702823
duck_fillet, #ffc6ae
duck_noodles, #dea164
dune_platter, #ffffeb
escargot, #82502c
maple_cookie, #fc8c57
maple_glazed_bacon, #ea7c52
mint_cake_slice, #c8feac
mulberry_cookie, #ffbfb6
necromium_knife, #576962
passion_aloe_nectar, #feeaa2
passion_fruit_glazed_duck, #ffffe6
perch_slice, #ffffff
perch_with_mushrooms, #d06255
pickerelweed_juice, #a4def4
pike_slice, #ffb579
pike_with_beetroot, #966b5e
seared_venison, #fff2e0
silver_knife, #90939a
slabdish, #807d3d
strawberry_cake_slice, #ff9e9e
vanilla_cake_slice, #ffdcbe
venison_shanks, #ae374e
venison_with_bamboo_shoots, #976c41
yucca_gateau_slice, #aa764a
