// Compost colors for valoria. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyssal_glowfern, #5f5194
akvavit_bottle, #9d6b5c
aloe, #7cc552
aloe_bandage, #cfc9ca
aloe_bandage_upgraded, #a28686
aloe_piece, #69b66e
aloe_small, #7cc552
ambane_stone_brick, #334357
amber_crystal, #ffa243
amber_gem, #ffa554
amber_golden_gazer, #f18939
amber_golden_totem, #f28c3a
amber_golden_winglet, #e0793c
amethyst_crystal, #f179ff
amethyst_gem, #d26eee
amethyst_golden_gazer, #e18365
amethyst_golden_totem, #f28a46
amethyst_golden_winglet, #dc7652
ancient_ingot, #8a1b33
ancient_shard, #96223c
apple_pie, #915040
aquarius_axe, #6f86ae
aquarius_bow, #725880
aquarius_core, #69d3fe
aquarius_hoe, #787097
aquarius_ingot, #8479a7
aquarius_pickaxe, #6879a8
aquarius_shovel, #7893b9
aquarius_upgrade_smithing_template, #a4627a
arcane_trim, #b5847c
awakened_void_boots, #4e3072
awakened_void_chestplate, #683778
awakened_void_helmet, #72479b
awakened_void_leggings, #5c377d
beer_cup, #ebc990
black_gold_ingot, #525058
blaze_reap, #585866
blood_vein, #a80f0e
blood_vine, #980c0f
bloodroot, #a04740
bloodsight_monocle, #d78752
bone_fragment, #948a5e
bottle, #9a8ca7
bow_of_darkness, #612f8a
broken_bloodsight_monocle, #b27f54
bronze_door, #c37f5f
bronze_glass_pane, #e0d2c2
bronze_ingot, #aa6140
cacao_cup, #e1d6f1
candy_corn, #ffd47d
cattail, #70842f
club, #795743
cobalt_axe, #838cd9
cobalt_boots, #6e8cf0
cobalt_chestplate, #8eb8ff
cobalt_helmet, #7f9dfc
cobalt_hoe, #8980b2
cobalt_ingot, #91b5ff
cobalt_leggings, #80a2fb
cobalt_pickaxe, #8c90cf
cobalt_shovel, #9190c9
coffee_cup, #d3cae8
cognac_bottle, #9e544d
coke_bottle, #6e3c3c
cooked_abyssal_glowfern, #70848a
cooked_glow_violet_sprout, #626870
cooked_goblin_meat, #544326
corpsecleaver, #a12d26
crimson_goldy, #ca611f
crimson_magmaroot, #983a1c
crimson_rajush, #b14a4a
crimson_soulroot, #897679
crypt_lantern, #708480
crypt_pot, #4d4b58
crystal_stone_brick, #688697
cup, #d6d2f8
cyberpunk_quantum_reaper_fragment, #906c94
debug_item, #984683
decorated_crypt_pot, #485258
depth_boots, #865773
depth_chestplate, #9b5e78
depth_helmet, #686b8a
depth_leggings, #87516f
diamond_gloves, #5cd2c2
diamond_rapier, #449b8c
dirt_geode, #473222
double_crimson_goldy, #dc7522
double_crimson_magmaroot, #984320
double_crimson_soulroot, #8d8e91
dread_axe, #e7839d
dried_plant, #a4763a
dried_roots, #b17f3d
dunestone_brick, #d7a88c
dynamite, #fc5037
eldritch_boat, #482939
eldritch_chest_boat, #654333
eldritch_door, #543040
eldritch_hanging_sign, #543944
eldritch_sapling, #e8e8e8
eldritch_sign, #522d3e
emerald_golden_gazer, #b6a23d
emerald_golden_totem, #ea943a
emerald_golden_winglet, #c9893e
empty_gazer, #f4912f
empty_totem, #f08734
empty_winglet, #dc7532
eternity, #d3d3c8
ethereal_axe, #8dc0c6
ethereal_pickaxe, #79a7b1
ethereal_shard, #5a8c96
eye_chunk, #97829d
falseflower, #bf417c
falseflower_small, #ac468a
fish_fragment, #918352
gaib_root, #667c6b
gaib_roots, #6c8790
gem_bag, #68432c
glow_violet_sprout, #445782
goblin_meat, #6f7544
golden_chain, #fba72c
golden_gloves, #ffe047
golden_necklace_amber, #f1942d
golden_necklace_armor, #ee9826
golden_necklace_diamond, #b5ac5e
golden_necklace_emerald, #b9b440
golden_necklace_health, #f27f41
golden_necklace_ruby, #e87a39
golden_necklace_sapphire, #b49d6f
golden_necklace_wealth, #f19d2a
golden_rapier, #d69030
golden_ring, #fca833
golden_ring_amber, #f89a33
golden_ring_diamond, #afb465
golden_ring_emerald, #bbc048
golden_ring_ruby, #f07f41
golden_ring_sapphire, #b2a27c
