// Compost colors for garnished. You may add your own colors, change existing ones, or remove colors that aren't needed.
aching_tenebrous_clump, #7a524d
almond, #be9d52
almond_cheese, #ffffff
amber_remnant, #f49651
anniversary_cake_slice, #fad4a2
antique_swathe, #ffdecf
apple_cider, #fffbf4
apple_cider_bucket, #cab9ab
aureate_shrub, #ffff78
baklava, #c6823e
bamboo_clod, #83b234
barren_roots, #fffcff
bewildered_pastry, #ae4184
bitter_almond, #bc9e66
bitter_apple_cider, #ffdae1
black_mastic_resin_bucket, #737a7f
blazing_delight, #cd654b
blazing_hatchet, #bb8246
blue_mastic_resin_bucket, #849eaf
bok_choy, #ffffc3
bok_choy_seeds, #84f05e
bottled_malodorous_mixture, #c6cae4
brass_hatchet, #a07341
bristled_flour, #cc1b64
bristled_tortilla, #af0b44
brittle_dust, #3d4046
brown_mastic_resin_bucket, #a09189
brownie_walnuts, #dd7a5e
brownie_walnuts_piece, #b45a4e
cackling_pie, #ee9d6b
cashew, #c3a258
cashew_cookie, #eda76b
cashew_fruit, #cf292f
cashew_mixture, #e0ffff
cashew_mixture_bucket, #c8c3bb
cashew_sorbet_delight, #bb9d6b
cashew_sorbet_scoop, #ffffe7
certus_quartz_hatchet, #93988e
champion_omelette, #375f5a
chestnut, #be9d54
chilled_apple, #ffffff
chocolate_glazed_almond, #bb8a55
chocolate_glazed_cashew, #bf8d57
chocolate_glazed_chestnut, #be7f4e
chocolate_glazed_hazelnut, #c3905a
chocolate_glazed_macadamia, #be8e58
chocolate_glazed_nut_mix, #9e6c47
chocolate_glazed_peanut, #bc8452
chocolate_glazed_pecan, #b27f43
chocolate_glazed_pistachio, #be8c57
chocolate_glazed_walnut, #bf9158
chorus_bowl, #9a7aa0
chorus_cocktail, #c0d7ff
chorus_cookie, #4b374b
chorus_tuft, #fffbff
cinder_almond, #a46f46
cinder_almond_haste, #a27546
cinder_cashew, #a46f47
cinder_cashew_speed, #8e5a37
cinder_chestnut, #ac7a48
cinder_chestnut_slow_falling, #a57847
cinder_hazelnut, #ac7a4a
cinder_hazelnut_speed_potent, #a17346
cinder_macadamia, #bb8c58
cinder_macadamia_fire_resistance, #b58c57
cinder_peanut, #b47f4d
cinder_peanut_effect, #a07240
cinder_pecan, #a26e3d
cinder_pecan_resistance, #965f33
cinder_pistachio, #b28252
cinder_pistachio_night_vision, #b18452
cinder_roll, #a77352
cinder_walnut, #af7a4d
cinder_walnut_strength, #a47647
coal_truffle, #904b3e
cooked_polar_bear_meat, #844833
cooked_tenebrous_meat, #3c8294
copper_hatchet, #9a6240
coral_wrapping, #ca1fcf
cosmic_brew, #826865
cosmic_powder, #4e469a
cracked_almond, #c2af75
cracked_cashew, #cfbc80
cracked_chestnut, #c6b276
cracked_hazelnut, #bfaa6f
cracked_macadamia, #d7c68c
cracked_peanut, #c8b476
cracked_pecan, #c6b276
cracked_pistachio, #c6b478
cracked_walnut, #cab87d
crestfallen_flora, #d7ddfc
crimson_tusk, #d4624a
crushed_crimson_fungus, #b53c29
crushed_ender_pearl, #258675
crushed_salt, #ffffff
crushed_sepia_fungus, #caa07c
crushed_shroomlight, #fff891
crushed_warped_fungus, #707a6c
cryptic_apple_cider, #fef2ff
