// Compost colors for dramaticdoors. You may add your own colors, change existing ones, or remove colors that aren't needed.
short_aa_steel_door, #726c75
short_acacia_door, #e68655
short_aeronos_door, #6f6b8d
short_aether_skyroot_door, #90906b
short_andesite_door, #e7f2eb
short_arcane_edelwood_door, #b9781e
short_aurum_door, #dd8022
short_bamboo_door, #fff170
short_be_bamboo_door, #73b228
short_be_dry_bamboo_door, #ffe687
short_birch_door, #ffffde
short_bloodshroom_door, #ff471e
short_bop_dead_door, #8a8379
short_bop_empyreal_door, #875e91
short_bop_fir_door, #a19780
short_bop_hellbark_door, #413030
short_bop_jacaranda_door, #ffffff
short_bop_magic_door, #7c96e0
short_bop_mahogany_door, #ffd7c3
short_bop_maple_door, #b28a66
short_bop_palm_door, #d99a44
short_bop_pine_door, #8e8e4a
short_bop_redwood_door, #d63a32
short_bop_umbran_door, #4a4b78
short_bop_willow_door, #9eae83
short_brass_door, #ffcd65
short_bwg_aspen_door, #dc8e76
short_bwg_baobab_door, #9e864a
short_bwg_blue_enchanted_door, #617fdd
short_bwg_bulbis_door, #75529b
short_bwg_cika_door, #86574b
short_bwg_cypress_door, #e0e793
short_bwg_ebony_door, #3d3c3a
short_bwg_embur_door, #af7c68
short_bwg_ether_door, #127fb4
short_bwg_fir_door, #805f46
short_bwg_florus_door, #7f6646
short_bwg_green_enchanted_door, #407d4d
short_bwg_holly_door, #d3ab94
short_bwg_imparius_door, #82d2da
short_bwg_ironwood_door, #a5a5a4
short_bwg_jacaranda_door, #d9a1a1
short_bwg_mahogany_door, #94626b
short_bwg_maple_door, #5c544e
short_bwg_nightshade_door, #af641c
short_bwg_palm_door, #87785e
short_bwg_pine_door, #a0947a
short_bwg_rainbow_eucalyptus_door, #65514a
short_bwg_redwood_door, #8c3d3d
short_bwg_sakura_door, #ab4857
short_bwg_skyris_door, #b2cfe4
short_bwg_sythian_door, #9d8308
short_bwg_white_mangrove_door, #dcd2d2
short_bwg_willow_door, #3d4b26
short_bwg_witch_hazel_door, #f7eb41
short_bwg_zelkova_door, #b2612f
short_canopy_door, #6c4d32
short_cardboard_door, #ffc589
short_cd_copper_door, #ffaf83
short_cd_industrial_iron_door, #878282
short_chain_door, #3d465b
short_cherry_door, #ffeee6
short_conberry_door, #c29370
short_copper_door, #ff976f
short_crimson_door, #aa5175
short_cruderoot_door, #ab9ddc
short_dark_iron_door, #2f2f2f
short_dark_oak_door, #644320
short_darkwood_door, #e08d4e
short_deorum_door, #ffb434
short_driftwood_door, #9e9080
short_ec_copper_door, #ff936c
short_ec_exposed_copper_door, #d3a586
