// Compost colors for projectred_core. You may add your own colors, change existing ones, or remove colors that aren't needed.
anode, #ffffff
black_illumar, #eaeaea
blue_illumar, #c8d2ff
boule, #faf8fc
brown_illumar, #f1e0cf
bundled_plate, #fffeff
cathode, #fffffb
conductive_plate, #ffffff
copper_coil, #ffffff
cyan_illumar, #d0ffff
draw_plate, #f1ffff
electrotine_dust, #b9e7ff
electrotine_ingot, #7ad6ff
electrotine_iron_comp, #9ed0eb
electrotine_silicon, #78b2f8
electrotine_silicon_comp, #78aeda
energized_silicon, #f0dd9b
energized_silicon_chip, #ffffff
glow_silicon_comp, #dcc3c9
gold_coil, #ffffff
gray_illumar, #eeeeee
green_illumar, #d4fbd7
infused_silicon, #da8cbc
iron_coil, #ffffff
light_blue_illumar, #ddeaff
light_gray_illumar, #ffffff
lime_illumar, #eaffd4
magenta_illumar, #ffd0ff
motor, #ffffff
multimeter, #fbf5f1
orange_illumar, #fff0b8
peridot, #c6f1ac
pink_illumar, #ffeaff
plate, #ffffff
platformed_plate, #fbf1f0
pointer, #fffbf7
purple_illumar, #fbd2ff
red_illumar, #ffd0d2
red_ingot, #f27a7a
red_iron_comp, #ffafb2
red_silicon_comp, #ca8eac
ruby, #ffc3c3
sail, #fffffe
sand_coal_comp, #e6e3c5
sapphire, #b4c6ff
screwdriver, #ffffff
silicon, #bfa8d3
silicon_chip, #ffffff
white_illumar, #ffffff
wired_plate, #fffbfa
woven_cloth, #ffffff
yellow_illumar, #ffffcf
