// Compost colors for tropicraftdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
coconut_juice, #f4ffff
coconut_milk, #ffffff
coffee_berry_jem, #ffb5d7
coffee_berry_pie, #ff8769
coffee_berry_shake, #ffa7be
fresh_marlin_sandwich, #ca964d
frog_leg_stick, #6e5b2f
grapefruit_jem, #ffffed
grapefruit_juice, #feffd9
grapefruit_pie, #ffee7d
lemon_jem, #ffffab
lemon_juice, #ffffa2
lemon_pie, #fff04a
lime_jem, #83ffb5
lime_juice, #7fffaa
lime_pie, #aef262
marlin_stew, #b17333
marlin_stick, #e4aa7f
orange_jem, #fff1a0
orange_pie, #ffc64a
papaya_jem, #bbffbf
papaya_juice, #b4f8b2
papaya_pie, #f1da6c
papaya_shake, #acffb2
pasta_with_starfish, #d39155
pineapple_jem, #c0eb97
pineapple_juice, #b4d990
pineapple_popslic, #fff462
pineapple_shake, #f0fab8
pineapple_slice, #fffe58
