// Compost colors for betternether. You may add your own colors, change existing ones, or remove colors that aren't needed.
agave, #ffffff
agave_leaf, #fffbff
agave_medicine, #e6d4d4
anchor_tree_door, #ffffff
anchor_tree_hanging_sign, #62965a
anchor_tree_ladder, #82c57c
anchor_tree_sapling, #ffffff
anchor_tree_sign, #76b26c
basalt_stalactite, #91969d
black_apple, #9b90a5
black_apple_seed, #ffffff
black_vine, #3d3443
blackstone_stalactite, #8a8487
blooming_vine, #ffffff
blue_obsidian_glass_pane, #26b9ff
bone_cincinnasite_door, #ffffff
bone_grass, #ffffff
bone_mushroom, #ffffff
bone_reed_door, #ffffff
bone_stalactite, #ffffff
bowl_upgrade_smithing_template, #826b4d
cincinnasite, #fffff7
cincinnasite_axe, #ffffff
cincinnasite_axe_diamond, #ffffff
cincinnasite_bars, #ffffff
cincinnasite_boots, #ffffb9
cincinnasite_chain, #ffffff
cincinnasite_chestplate, #fff893
cincinnasite_diamond_upgrade_smithing_template, #aaa158
cincinnasite_helmet, #fffff7
cincinnasite_hoe, #fffcf8
cincinnasite_hoe_diamond, #f7ffff
cincinnasite_ingot, #ffffb2
cincinnasite_leggings, #ffffe8
cincinnasite_pickaxe, #f7dabf
cincinnasite_pickaxe_diamond, #d3e0d0
cincinnasite_shears, #fffffe
cincinnasite_shovel, #fffff8
cincinnasite_shovel_diamond, #fcffff
cincinnasite_sword, #ffffdd
cincinnasite_sword_diamond, #bedabe
crimson_ladder, #b67691
eye_seed, #fff2f1
feather_fern, #ffffff
flaming_ruby_boots, #af5f70
flaming_ruby_chestplate, #e05e6f
flaming_ruby_helmet, #932a3c
flaming_ruby_leggings, #c64152
flaming_ruby_upgrade_smithing_template, #ae4457
geyser, #e8c9c6
giant_mold_sapling, #ffffff
glowstone_pile, #ffffff
glowstone_stalactite, #ffffff
golden_lumabus_seed, #ffffff
golden_vine, #ffffff
gray_mold, #ffffff
herbal_medicine, #cda8af
hook_mushroom_cooked, #fff2ff
ink_bush_seed, #ffffff
jellyfish_mushroom_sapling, #ffffff
jungle_moss, #9dd4c8
jungle_plant, #94c3d0
lapis_pile, #ffffff
lucis_spore, #fffff8
lumabus_seed, #ffffff
magma_flower, #ffe0ea
moss_cover, #eaffff
mushroom_fir_door, #f0ffff
mushroom_fir_hanging_sign, #2d5ac3
mushroom_fir_ladder, #5084ff
mushroom_fir_sapling, #ffffff
mushroom_fir_sign, #1654dd
neon_equisetum, #ffffff
nether_brewing_stand, #ffffff
nether_grass, #d4a0a0
nether_mushroom_door, #ffffff
nether_mushroom_hanging_sign, #fffffc
nether_mushroom_ladder, #ffffff
nether_mushroom_sign, #ffffff
nether_reed_door, #eaf8ff
nether_reed_hanging_sign, #413d7c
nether_reed_ladder, #9491b9
nether_reed_sign, #aea5d9
nether_reed_stem, #bbc6ea
nether_ruby, #dd374a
nether_ruby_axe, #ffddeb
nether_ruby_boots, #ffdce4
nether_ruby_chestplate, #ffa4b1
nether_ruby_helmet, #ffd6dd
nether_ruby_hoe, #ffe8fb
nether_ruby_leggings, #ffd0d9
nether_ruby_pickaxe, #f7a7b8
nether_ruby_shovel, #ffe7f5
nether_ruby_sword, #ffccd7
nether_sakura_door, #ffe7dd
nether_sakura_hanging_sign, #803d2d
nether_sakura_ladder, #be6f5b
nether_sakura_sapling, #ffffff
nether_sakura_sign, #e4b6a8
netherrack_stalactite, #ffffff
obsidian_glass_pane, #8447dc
pig_statue_respawner, #fffbc3
quartz_glass_framed_pane, #ffffc0
quartz_glass_framed_pane_black, #987334
quartz_glass_framed_pane_blue, #b18c9d
quartz_glass_framed_pane_brown, #e39839
quartz_glass_framed_pane_cyan, #9bd298
quartz_glass_framed_pane_gray, #bb9755
quartz_glass_framed_pane_green, #cdb63e
quartz_glass_framed_pane_light_blue, #aadebb
quartz_glass_framed_pane_light_gray, #fed689
quartz_glass_framed_pane_lime, #e0f033
quartz_glass_framed_pane_magenta, #ff8ea5
quartz_glass_framed_pane_orange, #ffbc1c
quartz_glass_framed_pane_pink, #ffc09d
quartz_glass_framed_pane_purple, #e77da4
quartz_glass_framed_pane_red, #ff7f3a
quartz_glass_framed_pane_white, #ffffc3
quartz_glass_framed_pane_yellow, #fff230
