// Compost colors for gendustry. You may add your own colors, change existing ones, or remove colors that aren't needed.
activity_simulator_elite_upgrade, #ffff8c
automation_upgrade, #fff5fc
blank_gene_sample, #ffffff
blank_genetic_template, #ffffff
bucket_liquid_dna, #c398d6
bucket_mutagen, #90bc9d
bucket_protein, #e4aeac
climate_control_module, #ffe66c
cooler_upgrade, #e8ffff
dryer_upgrade, #e0faff
elite_upgrade_frame, #ffff9a
environmental_processor, #abebd9
fertility_elite_upgrade, #fff47d
gene_sample, #e7edf5
genetic_template, #dee6ee
genetics_processor, #f8e47d
heater_upgrade, #ffffdd
humidifier_upgrade, #e1feff
labware, #eaf4ff
lifespan_upgrade, #e0e3f0
lighting_upgrade, #ffffff
mutation_elite_upgrade, #ffe49b
nether_upgrade, #c9a8ab
pollen_kit, #d4d4d4
pollination_upgrade, #f1fffb
power_module, #ff5a25
productivity_elite_upgrade, #c3dc58
productivity_upgrade, #a4f1cf
receptacle, #ffee69
scrubber_upgrade, #f7e4e1
sieve_upgrade, #ffffff
sky_upgrade, #ffffff
stabilizer_upgrade, #fffff1
territory_elite_upgrade, #ffea7a
territory_upgrade, #fff8ff
upgrade_frame, #ffffff
weatherproof_upgrade, #cce1ff
youth_elite_upgrade, #fff179
