// Compost colors for securitycraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_security_sea_boat, #d6a489
admin_tool, #648050
bamboo_security_sea_raft, #d3c99d
birch_security_sea_boat, #ebe0bc
blacklist_module, #f2caa7
bucket_f_lava, #c5a78e
bucket_f_water, #8e98b5
camera_monitor, #7290a0
cherry_security_sea_boat, #ffe6e3
codebreaker, #7c9e9d
crystal_quartz_item, #15ae93
dark_oak_security_sea_boat, #a48d79
disguise_module, #ab8d5b
door_indestructible_iron_item, #cacaca
harming_module, #be9e79
jungle_security_sea_boat, #cfb19b
keycard_holder, #703918
keycard_lv1, #ffffb5
keycard_lv2, #ffe4a0
keycard_lv3, #f4a4a8
keycard_lv4, #f4b5d2
keycard_lv5, #bc90d9
keypad_door_item, #c0c0c0
keypad_item, #ffffff
lens, #ffffff
limited_use_keycard, #abc3ff
mangrove_security_sea_boat, #bc8c87
oak_security_sea_boat, #d2be9e
portable_tune_player, #a5b6b4
redstone_module, #bb9e7c
reinforced_black_stained_glass_pane, #232323
reinforced_blue_stained_glass_pane, #486cfe
reinforced_brown_stained_glass_pane, #916c48
reinforced_cyan_stained_glass_pane, #6cb5da
reinforced_glass_pane, #f8ffff
reinforced_gray_stained_glass_pane, #6c6c6c
reinforced_green_stained_glass_pane, #91b548
reinforced_iron_bars, #c3c6c0
reinforced_light_blue_stained_glass_pane, #91daff
reinforced_light_gray_stained_glass_pane, #dadada
reinforced_lime_stained_glass_pane, #b5ff23
reinforced_magenta_stained_glass_pane, #fe6cff
reinforced_orange_stained_glass_pane, #ffb548
reinforced_pink_stained_glass_pane, #ffb5eb
reinforced_purple_stained_glass_pane, #b55afe
reinforced_red_stained_glass_pane, #da4848
reinforced_white_stained_glass_pane, #ffffff
reinforced_yellow_stained_glass_pane, #ffff48
remote_access_mine, #8393a1
remote_access_sentry, #7f97a7
rift_stabilizer, #dae0d9
sc_manual, #c8c8c8
scanner_door_item, #c3cccd
secret_acacia_hanging_sign, #d47847
secret_acacia_sign_item, #e07d47
secret_bamboo_hanging_sign, #fff07c
secret_bamboo_sign_item, #ffff7a
secret_birch_hanging_sign, #f1dc9a
secret_birch_sign_item, #fff7af
secret_cherry_hanging_sign, #ffbec2
secret_cherry_sign_item, #ffe6e0
secret_crimson_hanging_sign, #9a516f
secret_crimson_sign_item, #a14768
secret_dark_oak_hanging_sign, #5f4329
secret_dark_oak_sign_item, #5e3d1e
secret_jungle_hanging_sign, #cd976e
secret_jungle_sign_item, #d69a66
secret_mangrove_hanging_sign, #9b504a
secret_mangrove_sign_item, #9e4b43
secret_oak_hanging_sign, #d2ac6c
secret_sign_item, #ddb168
secret_spruce_hanging_sign, #967348
secret_spruce_sign_item, #976e3d
secret_warped_hanging_sign, #4a9e9a
secret_warped_sign_item, #47a1a1
sentry, #bfbfbf
smart_module, #f1c98a
sonic_security_system, #ffffff
speed_module, #bb9e7c
spruce_security_sea_boat, #b6a189
storage_module, #e8c6a0
track_mine, #968061
universal_block_modifier, #97a197
universal_block_reinforcer_lvl1, #897664
universal_block_reinforcer_lvl2, #846958
universal_block_reinforcer_lvl3, #9a8369
universal_block_remover, #cfcfd0
universal_key_changer, #e1d2c2
universal_owner_changer, #cfb89a
whitelist_module, #e8d6aa
wire_cutters, #7f98b9
