// Compost colors for avaritia. You may add your own colors, change existing ones, or remove colors that aren't needed.
cosmic_meatballs, #76c3c8
crystal_matrix_ingot, #a4fce8
crystal_pickaxe, #8dc2bf
diamond_lattice, #90ffff
endest_pearl, #f8ffff
endless_cake, #3e6172
eternal_singularity, #5050
infinity_axe, #b8beca
infinity_boots, #a1a4b8
infinity_bow, #9ec0cd
infinity_bucket, #8d8e96
infinity_catalyst, #ffffff
infinity_chestplate, #7d98aa
infinity_helmet, #757c89
infinity_hoe, #9baebc
infinity_ingot, #fef2ee
infinity_nugget, #fceae3
infinity_pants, #8993a4
infinity_pickaxe, #98b4c2
infinity_ring, #d2eaf2
infinity_shovel, #bcc3d9
infinity_sword, #8ab6bb
infinity_totem, #899da0
infinity_umbrella, #9bdaf7
matter_cluster, #afafaf
neutron_gear, #a7abc0
neutron_horse_armor, #8ea49b
neutron_ingot, #5c5f69
neutron_nugget, #828393
neutron_pile, #767886
neutron_ring, #7a6b34
record_fragment, #c9c5c3
singularity, #989898
skull_fire_sword, #fff1af
star_fuel, #46bedd
ultimate_stew, #575861
