// Compost colors for pamhc2foodcore. You may add your own colors, change existing ones, or remove colors that aren't needed.
appledonutitem, #ffee7f
applejellyitem, #f7ca94
applejellytoastitem, #a5842d
applejuiceitem, #eef5cf
applemuffinitem, #ffb658
applepieitem, #ffbc5c
applepopsicleitem, #fff18a
applesauceitem, #96762c
applesmoothieitem, #f1e6c0
appleyogurtitem, #ffc99a
baconandeggsitem, #dd9147
baconcheeseburgeritem, #c87f29
bakedvegetablemedlyitem, #a06426
bakewareitem, #f8bb97
basiccheeseburgeritem, #cc862f
basicchickensandwichitem, #d28626
basicfishsandwichitem, #dca03d
basichamburgeritem, #b97326
batteritem, #ffe075
beefjerkyitem, #89543c
beefpotpieitem, #f1b872
boiledeggitem, #ffe794
butteredbakedpotatoitem, #fcc55f
butteritem, #ffffc2
caramelappleitem, #e46823
carameldonutitem, #ffb829
caramelicecreamitem, #eda86e
caramelitem, #f8a825
caramelmuffinitem, #ffa246
caramelpieitem, #ffb150
caramelyogurtitem, #ffd78a
carrotbreaditem, #d36930
carrotcakeitem, #ffffcd
carrotdonutitem, #ffbe25
carrotjuiceitem, #f5c098
carrotmuffinitem, #ffa044
carrotpieitem, #ffb14e
carrotsoupitem, #905a12
cheesecakeitem, #ffffed
cheeseitem, #ffff04
chickendinneritem, #f1a879
chickenjerkyitem, #c68e72
chickennuggetitem, #eb8e26
chickenpotpieitem, #ffeea4
chocolatebaconitem, #65300b
chocolatebaritem, #5f300f
chocolatecakeitem, #b2703c
chocolatecaramelfudgeitem, #845014
chocolatedonutitem, #824b20
chocolateicecreamitem, #dd9d73
chocolatemilkitem, #aeabb1
chocolatemuffinitem, #f49a48
chocolatepieitem, #ffa751
chocolaterollitem, #916441
chocolateyogurtitem, #e8be8e
chorusdonutitem, #b47d90
chorusjellyitem, #c694aa
chorusjellytoastitem, #846444
chorusjuiceitem, #b6b9eb
chorusmuffinitem, #ffa762
choruspieitem, #ffae62
choruspopsicleitem, #b484a8
chorussmoothieitem, #b4b2e3
chorusyogurtitem, #eec5ae
cocoapowderitem, #985b3c
cookedgroundbeefitem, #917251
cookedgroundchickenitem, #dab690
cookedgroundfishitem, #706b5b
cookedgroundmuttonitem, #a28e73
cookedgroundporkitem, #d3948d
cookedgroundrabbititem, #835b2d
cookiesandmilkitem, #f7f4dc
cookingoilitem, #e6ac7c
cottoncandyitem, #ffafd3
crackeritem, #ffb455
crackersandcheeseitem, #ffbf4b
creamitem, #e6b9a2
cuttingboarditem, #dd8955
doughitem, #ffffe8
epicbaconitem, #bea890
fishandchipsitem, #fffc7c
fishjerkyitem, #6c4e44
fishpotpieitem, #d7b279
fishsticksitem, #ffd068
flouritem, #ffed91
freshmilkitem, #aa9775
freshwateritem, #8d8269
friedchickenitem, #d48d6b
friedeggitem, #ffffae
friesitem, #f2bf91
fruitpunchitem, #ffafca
fruitsaladitem, #a05e29
fudgesicleitem, #8c572d
glazedcarrotsitem, #ab6211
glowberrydonutitem, #ffd65c
glowberryjellyitem, #ffbe83
glowberryjellytoastitem, #b57622
glowberryjuiceitem, #ffe1bc
glowberrymuffinitem, #ffb250
glowberrypieitem, #ffb858
glowberrypopsicleitem, #ffe466
glowberrysmoothieitem, #ffdcac
glowberryyogurtitem, #ffdc94
grilledcheeseitem, #febb30
grinderitem, #877f73
groundbeefitem, #b4664d
groundchickenitem, #fcab8c
groundfishitem, #936155
groundmuttonitem, #c5836f
groundporkitem, #f58a87
groundrabbititem, #a55129
gummycreepersitem, #e4a43d
honeyglazeddonutitem, #ffb82c
honeypieitem, #ffb451
hotchocolateitem, #c0a59a
hotdogitem, #c06116
icecreamitem, #ffd2af
jellybeansitem, #affffa
juiceritem, #e6a180
macncheeseitem, #a77f0a
marshmellowsitem, #ffffff
mashedpotatoesitem, #b19652
mayonaiseitem, #e8b196
meatloafitem, #6f3c29
melondonutitem, #e7391c
melonjellyitem, #e0756c
melonjellytoastitem, #a44e1c
melonjuiceitem, #d38da1
melonmuffinitem, #ff9446
melonpopsicleitem, #ed462d
melonsmoothieitem, #cd8e97
melonyogurtitem, #f2c28a
mixingbowlitem, #553c0c
muttonjerkyitem, #976c5a
muttonpotpieitem, #ffcf8d
noodlesoupitem, #8d7034
p8juiceitem, #c38c9d
pastaitem, #ffffc2
pickledbeetsitem, #7f3a18
plaindonutitem, #ffaa51
porkjerkyitem, #c0726f
porkpotpieitem, #ffd3a1
potatochipsitem, #ffffe0
potatosoupitem, #8a6520
potitem, #ff8c66
potroastitem, #875f20
powdereddonutitem, #ffffff
pumpkinbreaditem, #cf7d2a
pumpkincheesecakeitem, #ff9e2a
pumpkindonutitem, #ff9623
pumpkinmuffinitem, #ffa446
pumpkinsoupitem, #865712
pumpkinyogurtitem, #ffd089
rabbitjerkyitem, #7c411e
rabbitpotpieitem, #e7a555
roastedsunflowerseedsitem, #ffbe4a
rolleritem, #9a732c
saltitem, #fffff8
saucepanitem, #e7825b
scrambledeggitem, #b99115
skilletitem, #da7246
smoresitem, #f4a254
softpretzelitem, #e7793e
sprinklesdonutitem, #82d4e3
stewitem, #935b1e
stockitem, #a2894d
sunflowerseedsitem, #735540
sweetberrydonutitem, #f5344e
sweetberryjellyitem, #d06568
sweetberryjellytoastitem, #914618
sweetberryjuiceitem, #d684a8
sweetberrymuffinitem, #ff9650
sweetberrypieitem, #ffa150
sweetberrypopsicleitem, #cc1914
sweetberrysmoothieitem, #d07c97
sweetberryyogurtitem, #fcaa8c
toastitem, #a07926
trailmixitem, #e47c44
vinegaritem, #e69d97
yogurtitem, #ffffd4
