// Compost colors for biomeswevegone. You may add your own colors, change existing ones, or remove colors that aren't needed.
allium_flower_bush, #a2a0b9
allium_oddion_soup, #945f2a
aloe_vera, #93be7c
aloe_vera_juice, #b9fffc
alpine_bellflower, #90b4de
amaranth, #bf7d66
angelica, #cce0c5
araucaria_sapling, #686c36
aspen_boat, #e19e72
aspen_chest_boat, #bb8751
aspen_door, #ffb691
aspen_hanging_sign, #f4ae8e
aspen_sapling, #ffdd25
aspen_sign, #ffbb93
baobab_boat, #a1906b
baobab_chest_boat, #9a8358
baobab_door, #aa9669
baobab_fruit, #e4be3c
baobab_hanging_sign, #ab976c
baobab_sapling, #767f39
baobab_sign, #b19b6c
beach_grass, #ffffe7
begonia, #c89d6b
bistort, #e1eedd
black_rose, #58544a
blooming_oddion, #c88a75
blue_enchanted_boat, #686682
blue_enchanted_chest_boat, #7c6855
blue_enchanted_door, #6280e0
blue_enchanted_hanging_sign, #97a5e8
blue_enchanted_sapling, #73b4ff
blue_enchanted_sign, #515a8c
blue_rose_bush, #466cb8
blue_sage, #94b1e3
blue_spruce_sapling, #4876a8
blueberries, #226298
blueberry_pie, #cab282
brown_birch_sapling, #bca46f
brown_oak_sapling, #79541f
brown_zelkova_sapling, #6f5744
bwg_logo, #e1ffff
california_poppy, #cd7f1f
cattail_sprout, #837640
cika_boat, #94665c
cika_chest_boat, #936c54
cika_door, #966b5f
cika_hanging_sign, #a47368
cika_sapling, #865400
cika_sign, #a87366
clover_patch, #dedede
cooked_oddion_bulb, #cc7648
cooked_white_puffball_cap, #fffffa
cooked_yucca_fruit, #dac855
crocus, #b9c9c3
cyan_amaranth, #3ac3ca
cyan_pitcher_plant, #dcf8eb
cyan_rose, #83fae0
cyan_tulip, #52e15a
cypress_boat, #a29678
cypress_chest_boat, #9b875f
cypress_door, #aea083
cypress_hanging_sign, #a79d7a
cypress_sapling, #849d79
cypress_sign, #aca17a
daffodil, #f8d3d9
delphinium, #93a5ff
ebony_boat, #4e412a
ebony_chest_boat, #6f5529
ebony_door, #3d3c3a
ebony_hanging_sign, #acacac
ebony_sapling, #4a752c
ebony_sign, #544b3d
fairy_slipper, #ff97dd
fir_boat, #a0734b
fir_chest_boat, #986f3a
fir_door, #805e44
fir_hanging_sign, #d4ae97
fir_sapling, #345a34
fir_sign, #a47351
firecracker_flower_bush, #d4b947
florus_boat, #649146
florus_chest_boat, #76823c
florus_door, #6c9e4d
florus_hanging_sign, #64874a
florus_sign, #618d43
flower_patch, #ffd2f2
flowering_tiny_lily_pads, #969696
foxglove, #dda290
golden_spined_cactus, #bce67f
green_apple, #cff73c
green_apple_pie, #ddbc5c
green_enchanted_boat, #5b7941
green_enchanted_chest_boat, #757034
green_enchanted_door, #407f4d
green_enchanted_hanging_sign, #83cc91
green_enchanted_sapling, #82fc80
green_enchanted_sign, #4a8452
green_mushroom, #dcffae
green_tulip, #62e33d
guzmania, #aab13e
holly_boat, #ca9e79
holly_chest_boat, #b18652
holly_door, #d6ae97
holly_hanging_sign, #eac2aa
holly_sapling, #3a5834
holly_sign, #ffd6b1
horseweed, #909e36
hydrangea_bush, #828dab
incan_lily, #a58478
indigo_jacaranda_sapling, #6c50a0
iris, #8c91c5
ironwood_boat, #b6aeaa
ironwood_chest_boat, #a89478
ironwood_door, #d4cdbf
ironwood_hanging_sign, #a49d98
ironwood_sapling, #8aa473
ironwood_sign, #a49b91
jacaranda_boat, #b9866f
jacaranda_chest_boat, #a4794b
jacaranda_door, #dda4a5
jacaranda_hanging_sign, #dab9b6
jacaranda_sapling, #8050a0
jacaranda_sign, #eaaeab
japanese_orchid, #fffcff
kovan_flower, #9b7655
lazarus_bellflower, #b9874b
leaf_pile, #9a9a9a
lollipop_flower, #deda5f
magenta_amaranth, #bf82a1
magenta_pitcher_plant, #ffb5e0
magenta_tulip, #7fb53d
mahogany_boat, #936457
mahogany_chest_boat, #8d643d
mahogany_door, #94626c
mahogany_hanging_sign, #c291ac
