// Compost colors for autumnity. You may add your own colors, change existing ones, or remove colors that aren't needed.
autumn_crocus, #ffffff
cooked_turkey_piece, #ffffff
foul_berries, #d6a836
foul_berry_pips, #7a5a3a
foul_soup, #8d682c
large_maple_boat, #af6939
maple_boat, #b16b39
maple_chest_boat, #a26933
maple_door, #bf7641
maple_furnace_boat, #946948
maple_hanging_sign, #b6784a
maple_ladder, #c27840
maple_leaf_banner_pattern, #fffff1
maple_leaf_pile, #d7d9d7
maple_sapling, #ffffff
maple_sign, #c07a47
orange_maple_leaf_pile, #d7d9d7
orange_maple_sapling, #fffffa
pancake, #ffffff
pumpkin_bread, #d77326
red_maple_leaf_pile, #d7d9d7
red_maple_sapling, #fffff5
sap_bottle, #ffccb5
snail_goo, #ffedc2
snail_shell_chestplate, #96552f
snail_shell_piece, #ffffff
swirl_banner_pattern, #fffff1
syrup_bottle, #c5989d
turkey_egg, #ffffff
turkey_piece, #ffffff
yellow_maple_leaf_pile, #d7d9d7
yellow_maple_sapling, #fffff4
