// Compost colors for jitl. You may add your own colors, change existing ones, or remove colors that aren't needed.
airmelon, #76209b
airroot_seeds, #e09dff
ancient_chunk, #434a51
ancient_eye_of_opening, #52364b
ancient_fragment, #434d55
ancient_piece, #435a6c
ancient_shard, #474b51
aqua_stone, #586c84
aquatic_knife, #4079a7
ash, #464646
balmy_teardrop, #b1977c
beastly_stomach, #8790bf
bile_vial, #905294
bitterwood_campfire, #b56897
bitterwood_sapling, #cae6ff
blade_of_dark_keeper, #261f11
blazier_orb, #a0330b
blazier_trophy, #dc6916
blazing_bow, #87622d
blazing_fireball, #e7a547
blazium_ingot, #ffc26f
bleedstone, #fe899e
bleedstone_dust, #ffacff
blood, #ffbcbc
blood_knife, #833644
blood_wield_sword, #5b0a0a
bloodcrust_axe, #800a04
bloodcrust_boots, #722929
bloodcrust_chestplate, #791818
bloodcrust_clump, #8a4d15
bloodcrust_helmet, #651f1f
bloodcrust_hoe, #690805
bloodcrust_ingot, #937676
bloodcrust_leggings, #6f2828
bloodcrust_multitool, #6f0b04
bloodcrust_pickaxe, #720e08
bloodcrust_shovel, #7f1f0f
bloodcrust_sword, #680e04
blue_gem, #4deea7
blue_glowshroom, #549dd7
bogweed, #3c2519
bogwood_sapling, #868446
boil_chain, #f45e16
boil_lock_key, #8e4819
boil_powder, #9b6c39
boil_record_1, #a4ccfa
boiling_blade, #ff964b
boiling_key, #8c4023
boiling_piercer, #c55141
boiling_skull, #a7786f
bottle_of_essencia, #beff93
bradberry, #cc557c
bradberry_bush, #735a3a
breathing_fungus, #86338c
breathing_stone, #976b5e
brison_bars, #ff6b0a
brown_euca_boat, #b1a058
bubble_sword, #7996a0
burned_boat, #b16f58
burned_door, #8a5c32
burned_sapling, #ffedde
calcia_orb, #692d2d
calcia_sword, #222d0c
calcia_trophy, #f15c33
cave_crystal, #476e6b
cave_dust, #3e3d37
celestium_axe, #28af89
celestium_boots, #2d8c80
celestium_chestplate, #22af9b
celestium_gemstone, #309e7f
celestium_helmet, #287d72
celestium_hoe, #298369
celestium_ingot, #aafffa
celestium_leggings, #2a9487
celestium_multitool, #66c3a0
celestium_pickaxe, #268a6e
celestium_shovel, #2aaa84
celestium_sword, #55dda5
champions_sword, #642c6b
charred_blade, #c08c79
charred_bow, #503936
charred_brush, #5f321c
charred_knife, #833c4d
charred_sapling, #64391e
charred_short_grass, #dab6a5
charred_weeds, #fffcfb
cherry_candy_cane, #d9a180
chest_key, #3a3732
chocolate, #aca298
ciclebloom, #e3ffff
cloud_piercer, #d0d0d0
cloud_slicer, #bccdf4
cloudia_boat, #826c9a
cloudia_door, #705f69
cloudia_key, #8c2555
cloudia_orb, #3e46bb
cloudia_portal_gem, #ffffff
cloudwalker_amulet, #4a8c6f
cold_clump, #c0fafa
collector_rock, #6c703d
concentrated_blood, #ffb2ae
corallator_orb, #f7a55b
corallator_trophy, #c9864b
corba_blue_flower, #6b23a1
corba_boat, #6cb158
corba_dark_purple_flower, #7d14a0
corba_door, #295511
corba_flower, #b48e29
corba_key, #238a57
corba_ladder, #527925
corba_light_purple_flower, #7d1cc2
