// Compost colors for burnt. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_door_burnt, #e3dde1
baked_apple, #ffd2c2
bamboo_door_burnt, #f1f4e7
birch_door_burnt, #e3e8f4
burning_door, #ffffff
burnt_acacia_door, #e3dde1
burnt_azalea, #eef1f0
burnt_bamboo_door, #f1f4e7
burnt_bamboo_stalk, #ffffff
burnt_birch_door, #e3e8f4
burnt_cherry_door, #e8f0fb
burnt_crops, #ffffff
burnt_dark_oak_door, #bcc0c8
burnt_door, #ffffff
burnt_forest_ambience, #ddd2cc
burnt_ivy, #a8b4ac
burnt_jungle_door, #e1e8f4
burnt_ladder, #bec0c8
burnt_mangrove_door, #cdd3de
burnt_oak_door, #edf2fb
burnt_spruce_door, #dce3f0
burnt_sugar_cane, #e8eadd
burnt_vine, #784819
cherry_door_burnt, #e8f0fb
dark_oak_door_burnt, #bcc0c8
ember_berries, #ffe1dc
extinguisher_spray, #ffffff
flint_trail_item, #ffffff
grave, #f7f4f0
grave_back, #f7f4f0
grave_lean, #f7f4f0
grave_twist, #f7f4f0
jungle_door_burnt, #e1e8f4
mangrove_door_burnt, #cdd3de
oak_door_burnt, #edf2fb
smoldering_crops, #f0862c
soot_block, #cfd2da
spruce_door_burnt, #dce3f0
sulphur, #ffffff
wispy, #ccdada
