// Compost colors for justhammers. You may add your own colors, change existing ones, or remove colors that aren't needed.
destructor_core, #bec5d2
diamond_destructor_hammer, #ddf7f1
diamond_hammer, #faffff
diamond_impact_hammer, #f7ffff
diamond_reinforced_hammer, #e0ffff
diamond_reinforced_impact_hammer, #e1ffff
gold_destructor_hammer, #fcead3
gold_hammer, #ffffe7
gold_impact_hammer, #fff7cc
gold_reinforced_hammer, #ffffda
gold_reinforced_impact_hammer, #fff8d2
impact_core, #c2c0bf
iron_destructor_hammer, #e6e1de
iron_hammer, #ffffff
iron_impact_hammer, #f8ede4
iron_reinforced_hammer, #b9b8b4
iron_reinforced_impact_hammer, #f7f0eb
netherite_destructor_hammer, #dcd7d4
netherite_hammer, #f1e8e7
netherite_impact_hammer, #e6d6cf
netherite_reinforced_hammer, #e3dedc
netherite_reinforced_impact_hammer, #e1d6d2
reinforced_core, #b8bfc6
reinforced_impact_core, #c0ccd0
stone_destructor_hammer, #e1dedc
stone_hammer, #fcf7f5
stone_impact_hammer, #eee3da
stone_reinforced_hammer, #eef0eb
stone_reinforced_impact_hammer, #eae3de
