// Compost colors for relics. You may add your own colors, change existing ones, or remove colors that aren't needed.
amphibian_boot, #7ac6af
aqua_walker, #8494ca
arrow_quiver, #eaaf76
bastion_ring, #c6a575
blazing_flask, #843e8a
chorus_inhibitor, #a14e72
drowned_belt, #9aa0c8
elytra_booster, #909dc0
enders_hand, #649864
holy_locket, #caa190
hunter_belt, #9ebfa5
ice_breaker, #9e9490
ice_skates, #cdffff
infinity_ham, #ffe8dd
jellyfish_necklace, #158ad9
leather_belt, #cc9e68
magic_mirror, #8ad6dd
magma_walker, #bf875e
midnight_robe, #7d7fa2
rage_glove, #fc5b3c
reflection_necklace, #b5cdff
relic_experience_bottle, #fffc44
roller_skates, #bc5a48
shadow_glaive, #fe98ff
solid_snowball, #a0deff
space_dissector, #ffac33
spatial_sign, #9dc294
spore_sack, #cae0a5
wool_mitten, #b1edff
